row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,24923,0,2,float
2,absmin,24934,1,3,vector
3,absmin_x,24941,1,2,float
4,absmin_y,24950,2,2,float
5,absmin_z,24959,3,2,float
6,absmax,24968,4,3,vector
7,absmax_x,24975,4,2,float
8,absmax_y,24984,5,2,float
9,absmax_z,24993,6,2,float
10,ltime,25002,7,2,float
11,movetype,25008,8,2,float
12,solid,25017,9,2,float
13,origin,25023,10,3,vector
14,origin_x,25030,10,2,float
15,origin_y,25039,11,2,float
16,origin_z,25048,12,2,float
17,oldorigin,25057,13,3,vector
18,oldorigin_x,25067,13,2,float
19,oldorigin_y,25079,14,2,float
20,oldorigin_z,25091,15,2,float
21,velocity,25103,16,3,vector
22,velocity_x,25112,16,2,float
23,velocity_y,25123,17,2,float
24,velocity_z,25134,18,2,float
25,angles,25145,19,3,vector
26,angles_x,25152,19,2,float
27,angles_y,25161,20,2,float
28,angles_z,25170,21,2,float
29,avelocity,25179,22,3,vector
30,avelocity_x,25189,22,2,float
31,avelocity_y,25201,23,2,float
32,avelocity_z,25213,24,2,float
33,punchangle,25225,25,3,vector
34,punchangle_x,25236,25,2,float
35,punchangle_y,25249,26,2,float
36,punchangle_z,25262,27,2,float
37,classname,25275,28,1,string
38,model,25285,29,1,string
39,frame,25291,30,2,float
40,skin,25297,31,2,float
41,effects,25302,32,2,float
42,mins,25310,33,3,vector
43,mins_x,25315,33,2,float
44,mins_y,25322,34,2,float
45,mins_z,25329,35,2,float
46,maxs,25336,36,3,vector
47,maxs_x,25341,36,2,float
48,maxs_y,25348,37,2,float
49,maxs_z,25355,38,2,float
50,size,25362,39,3,vector
51,size_x,25367,39,2,float
52,size_y,25374,40,2,float
53,size_z,25381,41,2,float
54,touch,25388,42,6,void()
55,use,25394,43,6,void()
56,think,25398,44,6,void()
57,blocked,25404,45,6,void()
58,nextthink,25412,46,2,float
59,groundentity,25422,47,4,entity
60,health,25435,48,2,float
61,frags,25442,49,2,float
62,weapon,25448,50,2,float
63,weaponmodel,25455,51,1,string
64,weaponframe,25467,52,2,float
65,currentammo,25479,53,2,float
66,ammo_shells,25491,54,2,float
67,ammo_nails,25503,55,2,float
68,ammo_rockets,25514,56,2,float
69,ammo_cells,25527,57,2,float
70,items,25538,58,2,float
71,takedamage,25544,59,2,float
72,chain,25555,60,4,entity
73,deadflag,25561,61,2,float
74,view_ofs,25570,62,3,vector
75,view_ofs_x,25579,62,2,float
76,view_ofs_y,25590,63,2,float
77,view_ofs_z,25601,64,2,float
78,button0,25612,65,2,float
79,button1,25620,66,2,float
80,button2,25628,67,2,float
81,impulse,25636,68,2,float
82,fixangle,25644,69,2,float
83,v_angle,25653,70,3,vector
84,v_angle_x,25661,70,2,float
85,v_angle_y,25671,71,2,float
86,v_angle_z,25681,72,2,float
87,idealpitch,25691,73,2,float
88,netname,25702,74,1,string
89,enemy,25710,75,4,entity
90,flags,25716,76,2,float
91,colormap,25722,77,2,float
92,team,25731,78,2,float
93,max_health,25736,79,2,float
94,teleport_time,25747,80,2,float
95,armortype,25761,81,2,float
96,armorvalue,25771,82,2,float
97,waterlevel,25782,83,2,float
98,watertype,25793,84,2,float
99,ideal_yaw,25803,85,2,float
100,yaw_speed,25813,86,2,float
101,aiment,25823,87,4,entity
102,goalentity,25830,88,4,entity
103,spawnflags,25841,89,2,float
104,target,25852,90,1,string
105,targetname,25859,91,1,string
106,dmg_take,25870,92,2,float
107,dmg_save,25879,93,2,float
108,dmg_inflictor,25888,94,4,entity
109,owner,25902,95,4,entity
110,movedir,25908,96,3,vector
111,movedir_x,25916,96,2,float
112,movedir_y,25926,97,2,float
113,movedir_z,25936,98,2,float
114,message,25946,99,1,string
115,sounds,25954,100,2,float
116,noise,25961,101,1,string
117,noise1,25967,102,1,string
118,noise2,25974,103,1,string
119,noise3,25981,104,1,string
120,toyview,26003,105,2,float
121,pdmg,26011,106,2,float
122,thru,26016,107,2,float
123,landed,26021,108,2,float
124,value,26028,109,2,float
125,ts,26034,110,1,string
126,oldts,26037,111,1,string
127,ammo_auto,26043,112,2,float
128,ammo_rock,26053,113,2,float
129,ammo_shel,26063,114,2,float
130,ammo_amsl,26073,115,2,float
131,ammo_smsl,26083,116,2,float
132,ammo_bomb,26093,117,2,float
