row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,defs.qc,2,makevectors,14876,0,-1,0,1,0,00000000
2,defs.qc,2,setorigin,14888,0,-2,0,2,0,00000000
3,defs.qc,2,setmodel,14898,0,-3,0,2,0,00000000
4,defs.qc,2,setsize,14907,0,-4,0,3,0,00000000
5,defs.qc,2,break,14915,0,-6,0,0,0,00000000
6,defs.qc,2,random,14921,0,-7,0,0,0,00000000
7,defs.qc,2,sound,14928,0,-8,0,5,0,00000000
8,defs.qc,2,normalize,14934,0,-9,0,1,0,00000000
9,defs.qc,2,error,14944,0,-10,0,1,0,00000000
10,defs.qc,2,objerror,14950,0,-11,0,1,0,00000000
11,defs.qc,2,vlen,14959,0,-12,0,1,0,00000000
12,defs.qc,2,vectoyaw,14964,0,-13,0,1,0,00000000
13,defs.qc,2,spawn,14973,0,-14,0,0,0,00000000
14,defs.qc,2,remove,14979,0,-15,0,1,0,00000000
15,defs.qc,2,traceline,14986,0,-16,0,4,0,00000000
16,defs.qc,2,checkclient,14996,0,-17,0,0,0,00000000
17,defs.qc,2,find,15008,0,-18,0,3,0,00000000
18,defs.qc,2,precache_sound,15013,0,-19,0,1,0,00000000
19,defs.qc,2,precache_model,15028,0,-20,0,1,0,00000000
20,defs.qc,2,stuffcmd,15043,0,-21,0,2,0,00000000
21,defs.qc,2,findradius,15052,0,-22,0,2,0,00000000
22,defs.qc,2,bprint,15063,0,-23,0,1,0,00000000
23,defs.qc,2,sprint,15070,0,-24,0,2,0,00000000
24,defs.qc,2,dprint,15077,0,-25,0,1,0,00000000
25,defs.qc,2,ftos,15084,0,-26,0,1,0,00000000
26,defs.qc,2,vtos,15089,0,-27,0,1,0,00000000
27,defs.qc,2,coredump,15094,0,-28,0,0,0,00000000
28,defs.qc,2,traceon,15103,0,-29,0,0,0,00000000
29,defs.qc,2,traceoff,15111,0,-30,0,0,0,00000000
30,defs.qc,2,eprint,15120,0,-31,0,1,0,00000000
31,defs.qc,2,walkmove,15127,0,-32,0,2,0,00000000
32,defs.qc,2,droptofloor,15136,0,-34,0,0,0,00000000
33,defs.qc,2,lightstyle,15148,0,-35,0,2,0,00000000
34,defs.qc,2,rint,15159,0,-36,0,1,0,00000000
35,defs.qc,2,floor,15164,0,-37,0,1,0,00000000
36,defs.qc,2,ceil,15170,0,-38,0,1,0,00000000
37,defs.qc,2,checkbottom,15175,0,-40,0,1,0,00000000
38,defs.qc,2,pointcontents,15187,0,-41,0,1,0,00000000
39,defs.qc,2,fabs,15201,0,-43,0,1,0,00000000
40,defs.qc,2,aim,15206,0,-44,0,2,0,00000000
41,defs.qc,2,cvar,15210,0,-45,0,1,0,00000000
42,defs.qc,2,localcmd,15215,0,-46,0,1,0,00000000
43,defs.qc,2,nextent,15224,0,-47,0,1,0,00000000
44,defs.qc,2,particle,15232,0,-48,0,4,0,00000000
45,defs.qc,2,ChangeYaw,15241,0,-49,0,0,0,00000000
46,defs.qc,2,vectoangles,15251,0,-51,0,1,0,00000000
47,defs.qc,2,WriteByte,15263,0,-52,0,2,0,00000000
48,defs.qc,2,WriteChar,15273,0,-53,0,2,0,00000000
49,defs.qc,2,WriteShort,15283,0,-54,0,2,0,00000000
50,defs.qc,2,WriteLong,15294,0,-55,0,2,0,00000000
51,defs.qc,2,WriteCoord,15304,0,-56,0,2,0,00000000
52,defs.qc,2,WriteAngle,15315,0,-57,0,2,0,00000000
53,defs.qc,2,WriteString,15326,0,-58,0,2,0,00000000
54,defs.qc,2,WriteEntity,15338,0,-59,0,2,0,00000000
55,defs.qc,2,movetogoal,15350,0,-67,0,1,0,00000000
56,defs.qc,2,precache_file,15361,0,-68,0,1,0,00000000
57,defs.qc,2,makestatic,15375,0,-69,0,1,0,00000000
58,defs.qc,2,changelevel,15386,0,-70,0,1,0,00000000
59,defs.qc,2,cvar_set,15398,0,-72,0,2,0,00000000
60,defs.qc,2,centerprint,15407,0,-73,0,2,0,00000000
61,defs.qc,2,ambientsound,15419,0,-74,0,4,0,00000000
62,defs.qc,2,precache_model2,15432,0,-75,0,1,0,00000000
63,defs.qc,2,precache_sound2,15448,0,-76,0,1,0,00000000
64,defs.qc,2,precache_file2,15464,0,-77,0,1,0,00000000
65,defs.qc,2,setspawnparms,15479,0,-78,0,1,0,00000000
66,subs.qc,10,SUB_Null,15493,0,1,0,0,0,00000000
67,subs.qc,10,SUB_Remove,15502,0,2,0,0,0,00000000
68,subs.qc,10,SetMovedir,15513,0,5,0,0,0,00000000
69,subs.qc,10,InitTrigger,15524,0,24,0,0,0,00000000
70,subs.qc,10,SUB_CalcMoveEnt,15536,0,40,7,4,2100,13110000
71,subs.qc,10,SUB_CalcMove,15552,0,48,10,3,2107,31100000
72,subs.qc,10,SUB_CalcMoveDone,15565,0,94,0,0,0,00000000
73,subs.qc,10,SUB_CalcAngleMoveEnt,15582,0,106,7,4,2117,13110000
74,subs.qc,10,SUB_CalcAngleMove,15603,0,114,10,3,2124,31100000
75,subs.qc,10,SUB_CalcAngleMoveDone,15621,0,141,0,0,0,00000000
76,subs.qc,10,DelayThink,15643,0,153,0,0,0,00000000
77,subs.qc,10,SUB_UseTargets,15654,0,159,4,0,2134,00000000
78,subs.qc,10,SUB_AttackFinished,15669,0,243,1,1,2138,10000000
79,subs.qc,10,SUB_CheckRefire,15688,0,251,1,1,2139,10000000
