row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,25162,0,2,float
2,absmin,25184,1,3,vector
3,absmin_x,25198,1,2,float
4,absmin_y,25216,2,2,float
5,absmin_z,25234,3,2,float
6,absmax,25252,4,3,vector
7,absmax_x,25266,4,2,float
8,absmax_y,25284,5,2,float
9,absmax_z,25302,6,2,float
10,ltime,25320,7,2,float
11,movetype,25332,8,2,float
12,solid,25350,9,2,float
13,origin,25362,10,3,vector
14,origin_x,25376,10,2,float
15,origin_y,25394,11,2,float
16,origin_z,25412,12,2,float
17,oldorigin,25430,13,3,vector
18,oldorigin_x,25450,13,2,float
19,oldorigin_y,25474,14,2,float
20,oldorigin_z,25498,15,2,float
21,velocity,25522,16,3,vector
22,velocity_x,25540,16,2,float
23,velocity_y,25562,17,2,float
24,velocity_z,25584,18,2,float
25,angles,25606,19,3,vector
26,angles_x,25620,19,2,float
27,angles_y,25638,20,2,float
28,angles_z,25656,21,2,float
29,avelocity,25674,22,3,vector
30,avelocity_x,25694,22,2,float
31,avelocity_y,25718,23,2,float
32,avelocity_z,25742,24,2,float
33,punchangle,25766,25,3,vector
34,punchangle_x,25788,25,2,float
35,punchangle_y,25814,26,2,float
36,punchangle_z,25840,27,2,float
37,classname,25866,28,1,string
38,model,25886,29,1,string
39,frame,25898,30,2,float
40,skin,25910,31,2,float
41,effects,25920,32,2,float
42,mins,25936,33,3,vector
43,mins_x,25946,33,2,float
44,mins_y,25960,34,2,float
45,mins_z,25974,35,2,float
46,maxs,25988,36,3,vector
47,maxs_x,25998,36,2,float
48,maxs_y,26012,37,2,float
49,maxs_z,26026,38,2,float
50,size,26040,39,3,vector
51,size_x,26050,39,2,float
52,size_y,26064,40,2,float
53,size_z,26078,41,2,float
54,touch,26092,42,6,void()
55,use,26104,43,6,void()
56,think,26112,44,6,void()
57,blocked,26124,45,6,void()
58,nextthink,26140,46,2,float
59,groundentity,26160,47,4,entity
60,health,26186,48,2,float
61,frags,26200,49,2,float
62,weapon,26212,50,2,float
63,weaponmodel,26226,51,1,string
64,weaponframe,26250,52,2,float
65,currentammo,26274,53,2,float
66,ammo_shells,26298,54,2,float
67,ammo_nails,26322,55,2,float
68,ammo_rockets,26344,56,2,float
69,ammo_cells,26370,57,2,float
70,items,26392,58,2,float
71,takedamage,26404,59,2,float
72,chain,26426,60,4,entity
73,deadflag,26438,61,2,float
74,view_ofs,26456,62,3,vector
75,view_ofs_x,26474,62,2,float
76,view_ofs_y,26496,63,2,float
77,view_ofs_z,26518,64,2,float
78,button0,26540,65,2,float
79,button1,26556,66,2,float
80,button2,26572,67,2,float
81,impulse,26588,68,2,float
82,fixangle,26604,69,2,float
83,v_angle,26622,70,3,vector
84,v_angle_x,26638,70,2,float
85,v_angle_y,26658,71,2,float
86,v_angle_z,26678,72,2,float
87,idealpitch,26698,73,2,float
88,netname,26720,74,1,string
89,enemy,26736,75,4,entity
90,flags,26748,76,2,float
91,colormap,26760,77,2,float
92,team,26778,78,2,float
93,max_health,26788,79,2,float
94,teleport_time,26810,80,2,float
95,armortype,26838,81,2,float
96,armorvalue,26858,82,2,float
97,waterlevel,26880,83,2,float
98,watertype,26902,84,2,float
99,ideal_yaw,26922,85,2,float
100,yaw_speed,26942,86,2,float
101,aiment,26962,87,4,entity
102,goalentity,26976,88,4,entity
103,spawnflags,26998,89,2,float
104,target,27020,90,1,string
105,targetname,27034,91,1,string
106,dmg_take,27056,92,2,float
107,dmg_save,27074,93,2,float
108,dmg_inflictor,27092,94,4,entity
109,owner,27120,95,4,entity
110,movedir,27132,96,3,vector
111,movedir_x,27148,96,2,float
112,movedir_y,27168,97,2,float
113,movedir_z,27188,98,2,float
114,message,27208,99,1,string
115,sounds,27224,100,2,float
116,noise,27238,101,1,string
117,noise1,27250,102,1,string
118,noise2,27264,103,1,string
119,noise3,27278,104,1,string
120,toyview,27307,105,2,float
121,pdmg,27323,106,2,float
122,thru,27333,107,2,float
123,landed,27343,108,2,float
124,value,27357,109,2,float
125,ts,27369,110,1,string
126,oldts,27375,111,1,string
127,ammo_auto,27387,112,2,float
128,ammo_rock,27407,113,2,float
129,ammo_shel,27427,114,2,float
130,ammo_amsl,27447,115,2,float
131,ammo_smsl,27467,116,2,float
132,ammo_bomb,27487,117,2,float
133,ammo_cell,27507,118,2,float
134,ammo_mine,27527,119,2,float
135,wepv,27547,120,2,float
136,spawn_finished,27557,121,2,float
137,unstealth_finished,27587,122,2,float
138,missileview_on,27625,123,2,float
139,lives,27655,124,2,float
140,accesslvl,27667,125,2,float
141,accessparm,27687,126,2,float
142,twonumbers,27709,127,2,float
143,numcurspos,27731,128,2,float
144,gettingnum,27753,129,2,float
145,tur1,27775,130,4,entity
146,tur2,27785,131,4,entity
147,radiuskiller,27795,132,4,entity
148,lastmiss,27821,133,4,entity
149,wad,29522,134,1,string
150,map,29530,135,1,string
151,worldtype,29538,136,2,float
152,killtarget,29558,137,1,string
153,light_lev,29580,138,2,float
154,style,29600,139,2,float
155,th_stand,29612,140,6,void()
156,th_walk,29630,141,6,void()
157,th_run,29646,142,6,void()
158,th_missile,29660,143,6,void()
159,th_melee,29682,144,6,void()
160,th_pain,29700,145,6,void()
161,th_die,29716,146,6,void()
162,oldenemy,29730,147,4,entity
163,speed,29748,148,2,float
164,lefty,29760,149,2,float
165,search_time,29772,150,2,float
166,attack_state,29796,151,2,float
167,walkframe,29865,152,2,float
168,attack_finished,29885,153,2,float
169,pain_finished,29917,154,2,float
170,invincible_finished,29945,155,2,float
171,invisible_finished,29985,156,2,float
172,super_damage_finished,30023,157,2,float
173,radsuit_finished,30067,158,2,float
174,invincible_time,30101,159,2,float
175,invincible_sound,30133,160,2,float
176,invisible_time,30167,161,2,float
177,invisible_sound,30197,162,2,float
178,super_time,30229,163,2,float
179,super_sound,30251,164,2,float
180,rad_time,30275,165,2,float
181,fly_sound,30293,166,2,float
182,axhitme,30313,167,2,float
183,show_hostile,30329,168,2,float
184,jump_flag,30355,169,2,float
185,swim_flag,30375,170,2,float
186,air_finished,30395,171,2,float
187,bubble_count,30421,172,2,float
188,deathtype,30447,173,1,string
189,mdl,30467,174,1,string
190,mangle,30475,175,3,vector
191,mangle_x,30489,175,2,float
192,mangle_y,30507,176,2,float
193,mangle_z,30525,177,2,float
194,t_length,30543,178,2,float
195,t_width,30561,179,2,float
196,dest,30577,180,3,vector
197,dest_x,30587,180,2,float
198,dest_y,30601,181,2,float
199,dest_z,30615,182,2,float
200,dest1,30629,183,3,vector
201,dest1_x,30641,183,2,float
202,dest1_y,30657,184,2,float
203,dest1_z,30673,185,2,float
204,dest2,30689,186,3,vector
205,dest2_x,30701,186,2,float
206,dest2_y,30717,187,2,float
207,dest2_z,30733,188,2,float
208,wait,30749,189,2,float
209,delay,30759,190,2,float
210,trigger_field,30771,191,4,entity
211,noise4,30799,192,1,string
