row,offset,id,string
0,0,0,""
1,1,1,"defs.qc"
2,9,2,"makevectors"
3,21,3,"setorigin"
4,31,4,"setmodel"
5,40,5,"setsize"
6,48,6,"break"
7,54,7,"random"
8,61,8,"sound"
9,67,9,"normalize"
10,77,10,"error"
11,83,11,"objerror"
12,92,12,"vlen"
13,97,13,"vectoyaw"
14,106,14,"spawn"
15,112,15,"remove"
16,119,16,"traceline"
17,129,17,"checkclient"
18,141,18,"find"
19,146,19,"precache_sound"
20,161,20,"precache_model"
21,176,21,"stuffcmd"
22,185,22,"findradius"
23,196,23,"bprint"
24,203,24,"sprint"
25,210,25,"dprint"
26,217,26,"ftos"
27,222,27,"vtos"
28,227,28,"coredump"
29,236,29,"traceon"
30,244,30,"traceoff"
31,253,31,"eprint"
32,260,32,"walkmove"
33,269,33,"droptofloor"
34,281,34,"lightstyle"
35,292,35,"rint"
36,297,36,"floor"
37,303,37,"ceil"
38,308,38,"checkbottom"
39,320,39,"pointcontents"
40,334,40,"fabs"
41,339,41,"aim"
42,343,42,"cvar"
43,348,43,"localcmd"
44,357,44,"nextent"
45,365,45,"particle"
46,374,46,"ChangeYaw"
47,384,47,"vectoangles"
48,396,48,"WriteByte"
49,406,49,"WriteChar"
50,416,50,"WriteShort"
51,427,51,"WriteLong"
52,437,52,"WriteCoord"
53,448,53,"WriteAngle"
54,459,54,"WriteString"
55,471,55,"WriteEntity"
56,483,56,"movetogoal"
57,494,57,"precache_file"
58,508,58,"makestatic"
59,519,59,"changelevel"
60,531,60,"cvar_set"
61,540,61,"centerprint"
62,552,62,"ambientsound"
63,565,63,"precache_model2"
64,581,64,"precache_sound2"
65,597,65,"precache_file2"
66,612,66,"setspawnparms"
67,626,67,"subs.qc"
68,634,68,"SUB_Null"
69,643,69,"SUB_Remove"
70,654,70,"SetMovedir"
71,665,71,""
72,666,72,"InitTrigger"
73,678,73,"SUB_CalcMoveEnt"
74,694,74,"No speed is defined!"
75,715,75,"SUB_CalcMove"
76,728,76,"SUB_CalcMoveDone"
77,745,77,"SUB_CalcAngleMoveEnt"
78,766,78,"SUB_CalcAngleMove"
79,784,79,"SUB_CalcAngleMoveDone"
80,806,80,"DelayThink"
81,817,81,"DelayedUse"
82,828,82,"player"
83,835,83,"misc/talk.wav"
84,849,84,"SUB_UseTargets"
85,864,85,"SUB_AttackFinished"
86,883,86,"SUB_CheckRefire"
87,899,87,"airmisc.qc"
88,910,88,"calcbit"
89,918,89,"checkcli"
90,927,90,"change_cc"
91,937,91,"check_allowed"
92,951,92,"add_allowedcraft"
93,968,93,"givefrags"
94,978,94,"giveteamfrags"
95,992,95,"teamprint"
96,1002,96,"checkground"
97,1014,97,"place_targetbox"
98,1030,98,"orgia"
99,1036,99,"setup_teament"
100,1050,100,"speech/f2_a.wav"
101,1066,101,"speech/f2_b.wav"
102,1082,102,"speech/f2_c.wav"
103,1098,103,"speech/f2_d.wav"
104,1114,104,"speech/f2_e.wav"
105,1130,105,"speech/f2_f.wav"
106,1146,106,"speech/f2_g.wav"
107,1162,107,"speech/f3_a.wav"
108,1178,108,"speech/f3_b.wav"
109,1194,109,"speech/f3_c.wav"
110,1210,110,"speech/f3_d.wav"
111,1226,111,"speech/f3_e.wav"
112,1242,112,"speech/f3_f.wav"
113,1258,113,"speech/f3_g.wav"
114,1274,114,"speech/f4_a.wav"
115,1290,115,"speech/f4_b.wav"
116,1306,116,"speech/f4_c.wav"
117,1322,117,"speech/f4_d.wav"
118,1338,118,"speech/f4_e.wav"
119,1354,119,"speech/f4_f.wav"
120,1370,120,"speech/f4_g.wav"
121,1386,121,"speech/f5_a.wav"
122,1402,122,"speech/f5_b.wav"
123,1418,123,"speech/f5_c.wav"
124,1434,124,"speech/f5_d.wav"
125,1450,125,"speech/f5_e.wav"
126,1466,126,"speech/f5_f.wav"
127,1482,127,"speech/f5_g.wav"
128,1498,128,"speech/f6_a.wav"
129,1514,129,"speech/f6_b.wav"
130,1530,130,"speech/f6_c.wav"
131,1546,131,"speech/f6_d.wav"
132,1562,132,"speech/f6_e.wav"
133,1578,133,"speech/f6_f.wav"
134,1594,134,"speech/f6_g.wav"
135,1610,135,"speech/f7_a.wav"
136,1626,136,"speech/f7_b.wav"
137,1642,137,"speech/f7_c.wav"
138,1658,138,"speech/f7_d.wav"
139,1674,139,"speech/f7_e.wav"
140,1690,140,"speech/f7_f.wav"
141,1706,141,"speech/f7_g.wav"
142,1722,142,"speech/f8_a.wav"
143,1738,143,"speech/f8_b.wav"
144,1754,144,"speech/f8_c.wav"
145,1770,145,"speech/f8_d.wav"
146,1786,146,"speech/f8_e.wav"
147,1802,147,"speech/f8_f.wav"
148,1818,148,"speech/f8_g.wav"
149,1834,149,"speech/fc_1.wav"
150,1850,150,"speech/fc_2.wav"
151,1866,151,"speech/fc_3.wav"
152,1882,152,"speech/fc_4.wav"
153,1898,153,"speech/mc_1.wav"
154,1914,154,"speech/mc_2.wav"
155,1930,155,"speech/mc_3.wav"
156,1946,156,"speech/mc_4.wav"
157,1962,157,"speech/mc_5.wav"
158,1978,158,"speech/mc_6.wav"
159,1994,159,"speech/mc_7.wav"
160,2010,160,"send_voicemsg"
161,2024,161,"fight.qc"
162,2033,162,"CheckAttack"
163,2045,163,"ai_face"
164,2053,164,"ai_charge"
165,2063,165,"ai_charge_side"
166,2078,166,"ai_melee"
167,2087,167,"ai_melee_side"
168,2101,168,"ai.qc"
169,2107,169,"anglemod"
170,2116,170,"movetarget_f"
171,2129,171,"path_corner"
172,2141,172,"monster_drone2"
173,2156,173,"path_corner"
174,2168,174,"tank"
175,2173,175,"t_movetarget"
176,2186,176,"range"
177,2192,177,"visible"
178,2200,178,"infront"
179,2208,179,"HuntTarget"
180,2219,180,"SightSound"
181,2230,181,"FoundTarget"
182,2242,182,"monster_rad"
183,2254,183,"progs/plane3.mdl"
184,2271,184,"progs/plane3b.mdl"
185,2289,185,"FindTarget"
186,2300,186,"ai_forward"
187,2311,187,"ai_back"
188,2319,188,"ai_pain"
189,2327,189,"ai_painforward"
190,2342,190,"monster_dragon"
191,2357,191,"ai_walk"
192,2365,192,"ai_stand"
193,2374,193,"ai_turn"
194,2382,194,"ChooseTurn"
195,2393,195,"FacingIdeal"
196,2405,196,"CheckAnyAttack"
197,2420,197,"ai_run_melee"
198,2433,198,"ai_run_missile"
199,2448,199,"ai_run_slide"
200,2461,200,"ai_run"
201,2468,201,"combat.qc"
202,2478,202,"CanDamage"
203,2488,203," destroys enemy "
204,2505,204,"\n"
205,2507,205," has fun bombing friendly forces\n"
206,2541,206,"plane"
207,2547,207,"monster_drone"
208,2561,208,"Killed"
209,2568,209,"items/protect3.wav"
210,2587,210,"T_Damage"
211,2596,211,"T_RadiusDamage"
212,2611,212,"monster_shambler"
213,2628,213,"T_BeamDamage"
214,2641,214,"weapons.qc"
215,2652,215,"weapons/r_exp3.wav"
216,2671,216,"weapons/rocket1i.wav"
217,2692,217,"weapons/sgun1.wav"
218,2710,218,"weapons/guncock.wav"
219,2730,219,"weapons/ric1.wav"
220,2747,220,"weapons/ric2.wav"
221,2764,221,"weapons/ric3.wav"
222,2781,222,"weapons/spike2.wav"
223,2800,223,"weapons/tink1.wav"
224,2818,224,"weapons/grenade.wav"
225,2838,225,"weapons/bounce.wav"
226,2857,226,"weapons/shotgn2.wav"
227,2877,227,"W_Precache"
228,2888,228,"crandom"
229,2896,229,"wall_velocity"
230,2910,230,"progs/zom_gib.mdl"
231,2928,231,"SpawnMeatSpray"
232,2943,232,"SpawnBlood"
233,2954,233,"spawn_touchblood"
234,2971,234,"SpawnChunk"
235,2982,235,"ClearMultiDamage"
236,2999,236,"ApplyMultiDamage"
237,3016,237,"AddMultiDamage"
238,3031,238,"TraceAttack"
239,3043,239,"FireBullets"
240,3055,240,"s_explode1"
241,3066,241,"s_explode2"
242,3077,242,"s_explode3"
243,3088,243,"s_explode4"
244,3099,244,"s_explode5"
245,3110,245,"s_explode6"
246,3121,246,"progs/s_explod.spr"
247,3140,247,"BecomeExplosion"
248,3156,248,"T_MissileTouch"
249,3171,249,"LightningDamage"
250,3187,250,"spike"
251,3193,251,"progs/spike.mdl"
252,3209,252,"launch_spike"
253,3222,253,"wizspike"
254,3231,254,"knightspike"
255,3243,255,"spike_touch"
256,3255,256,"superspike_touch"
257,3272,257,"W_SetCurrentAmmo"
258,3289,258,"W_BestWeapon"
259,3302,259,"W_CheckNoAmmo"
260,3316,260,"no weapon.\n"
261,3328,261,"not enough ammo.\n"
262,3346,262,"W_ChangeWeapon"
263,3361,263,"CheatCommand"
264,3374,264,"CycleWeaponCommand"
265,3393,265,"CycleWeaponReverseCommand"
266,3419,266,"ServerflagsCommand"
267,3438,267,"quad cheat\n"
268,3450,268,"QuadCheat"
269,3460,269,"thrust: 0%\n"
270,3472,270,"thrust: 25%\n"
271,3485,271,"thrust: 50%\n"
272,3498,272,"thrust: 75%\n"
273,3511,273,"thrust:100%\n"
274,3524,274,"Missile view on\n"
275,3541,275,"Missile view off\n"
276,3559,276,"ImpulseCommands"
277,3575,277,"W_WeaponFrame"
278,3589,278,"items/damage3.wav"
279,3607,279,"SuperDamageSound"
280,3624,280,"acitems.qc"
281,3635,281,"check_ammo"
282,3646,282,"items/itembk2.wav"
283,3664,283,"SUB_regen"
284,3674,284,"ACPlaceItem"
285,3686,285,"ACStartItem"
286,3698,286,"You got the "
287,3711,287,"weapons/lock4.wav"
288,3729,288,"bf\n"
289,3733,289,"ACammo_touch"
290,3746,290,"progs/box1.mdl"
291,3761,291,"nails"
292,3767,292,"item_spikes"
293,3779,293,"rockets"
294,3787,294,"item_shells"
295,3799,295,"shells"
296,3806,296,"item_canshells"
297,3821,297,"missiles"
298,3830,298,"item_rockets"
299,3843,299,"progs/imaver.mdl"
300,3860,300,"AS missiles"
301,3872,301,"item_mavericks"
302,3887,302,"progs/bomb.mdl"
303,3902,303,"bombs"
304,3908,304,"item_bombs"
305,3919,305,"cells"
306,3925,306,"item_cells"
307,3936,307,"progs/mine.mdl"
308,3951,308,"mines"
309,3957,309,"item_mines"
310,3968,310,"items/health1.wav"
311,3986,311,"health_touch"
312,3999,312,"health"
313,4006,313,"item_health"
314,4018,314,"Blue officer"
315,4031,315,"Red officer"
316,4043,316," has been returned to the base.\n"
317,4076,317,"flagcollected_think"
318,4096,318," made a capture!\n"
319,4114,319," picked up "
320,4126,320,"the enemy officer!\n"
321,4146,321,"flagsoldier_touch"
322,4164,322,"progs/player.mdl"
323,4181,323,"start_flagsoldier"
324,4199,324,"item_flagsoldier"
325,4216,325,"item_model"
326,4227,326,"acguns.qc"
327,4237,327,"s_bexplode0"
328,4249,328,"s_bexplode1"
329,4261,329,"s_bexplode2"
330,4273,330,"s_bexplode3"
331,4285,331,"s_bexplode4"
332,4297,332,"s_bexplode5"
333,4309,333,"progs/s_bigbom.spr"
334,4328,334,"BigExplosion"
335,4341,335,"WaterRadiusDamage"
336,4359,336,"mine"
337,4364,337,"ACprojectile_expireboom"
338,4388,338,"ACprojectile_touchboom"
339,4411,339,"ACsuperspike_touch"
340,4430,340,"ACspike_touch"
341,4444,341,"autocann.wav"
342,4457,342,"progs/bullet.mdl"
343,4474,343,"AC_spike"
344,4483,344,"AC_bullet"
345,4493,345,"enforcer/enfstop.wav"
346,4514,346,"AClaser_touch"
347,4528,347,"enforcer/enfire.wav"
348,4548,348,"progs/laser.mdl"
349,4564,349,"laser"
350,4570,350,"AC_laser"
351,4579,351,"monster_enforcer"
352,4596,352,"LaunchLaser"
353,4608,353,"rocklnch.wav"
354,4621,354,"progs/rocket1.mdl"
355,4639,355,"missile"
356,4647,356,"AC_rocket"
357,4657,357,"mine_boom"
358,4667,358,"mine_activated"
359,4682,359,"bomb_rotate"
360,4694,360,"bomb"
361,4699,361,"AC_bomb"
362,4707,362,"AC_mine"
363,4715,363,"paveway_fly"
364,4727,364,"progs/pave.mdl"
365,4742,365,"AC_paveway"
366,4753,366,"detpak_boom"
367,4765,367,"detpak_active"
368,4779,368,"detpak_fall"
369,4791,369,"progs/rcbo.mdl"
370,4806,370,"detpak"
371,4813,371,"AC_detpak"
372,4823,372,"play in1.wav\n"
373,4837,373,"ACmissile_home"
374,4852,374,"Incoming missile!\n"
375,4871,375,"progs/rocket2.mdl"
376,4889,376,"AC_seekingmissile"
377,4907,377,"AC_heatseeker"
378,4921,378,"AC_miniseeker"
379,4935,379,"AC_bigseeker"
380,4948,380,"progs/sider.mdl"
381,4964,381,"AC_sidewinder"
382,4978,382,"progs/amraam.mdl"
383,4995,383,"AC_amraam"
384,5005,384,"progs/sting.mdl"
385,5021,385,"AC_stinger"
386,5032,386,"progs/maver.mdl"
387,5048,387,"AC_maverick"
388,5060,388,"progs/hfire.mdl"
389,5076,389,"AC_hellfire"
390,5088,390,"s_pexplode0"
391,5100,391,"s_pexplode1"
392,5112,392,"s_pexplode2"
393,5124,393,"s_pexplode3"
394,5136,394,"s_pexplode4"
395,5148,395,"s_pexplode5"
396,5160,396,"progs/s_plasma.spr"
397,5179,397,"PlasmaExplosion"
398,5195,398,"Plasma_Watercheck"
399,5213,399,"dsfirxpl.wav"
400,5226,400,"ACplasma_touch"
401,5241,401,"dsplasma.wav"
402,5254,402,"progs/pbullet.mdl"
403,5272,403,"plasma"
404,5279,404,"AC_plasma"
405,5289,405,"flare_touch"
406,5301,406,"flare"
407,5307,407,"progs/lavaball.mdl"
408,5326,408,"AC_Flare"
409,5335,409,"ac.qc"
410,5341,410,"cammy_think"
411,5353,411,"target_think"
412,5366,412,"vehicle_think"
413,5380,413,"progs/null.spr"
414,5395,414,"Create_chasecam"
415,5411,415,"Check_minsmaxs"
