row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func,0,0,0,0,0,0,00000000
1,defs.qc,2,makevectors,37478,0,-1,0,1,0,00000000
2,defs.qc,2,setorigin,37490,0,-2,0,2,0,00000000
3,defs.qc,2,setmodel,37500,0,-3,0,2,0,00000000
4,defs.qc,2,setsize,37509,0,-4,0,3,0,00000000
5,defs.qc,2,break,37517,0,-6,0,0,0,00000000
6,defs.qc,2,random,37523,0,-7,0,0,0,00000000
7,defs.qc,2,sound,37530,0,-8,0,5,0,00000000
8,defs.qc,2,normalize,37536,0,-9,0,1,0,00000000
9,defs.qc,2,error,37546,0,-10,0,1,0,00000000
10,defs.qc,2,objerror,37552,0,-11,0,1,0,00000000
11,defs.qc,2,vlen,37561,0,-12,0,1,0,00000000
12,defs.qc,2,vectoyaw,37566,0,-13,0,1,0,00000000
13,defs.qc,2,spawn,37575,0,-14,0,0,0,00000000
14,defs.qc,2,remove,37581,0,-15,0,1,0,00000000
15,defs.qc,2,traceline,37588,0,-16,0,4,0,00000000
16,defs.qc,2,checkclient,37598,0,-17,0,0,0,00000000
17,defs.qc,2,find,37610,0,-18,0,3,0,00000000
18,defs.qc,2,precache_sound,37615,0,-19,0,1,0,00000000
19,defs.qc,2,precache_model,37630,0,-20,0,1,0,00000000
20,defs.qc,2,findradius,37645,0,-22,0,2,0,00000000
21,defs.qc,2,bprint,37656,0,-23,0,1,0,00000000
22,defs.qc,2,dprint,37663,0,-25,0,1,0,00000000
23,defs.qc,2,ftos,37670,0,-26,0,1,0,00000000
24,defs.qc,2,vtos,37675,0,-27,0,1,0,00000000
25,defs.qc,2,coredump,37680,0,-28,0,0,0,00000000
26,defs.qc,2,traceon,37689,0,-29,0,0,0,00000000
27,defs.qc,2,traceoff,37697,0,-30,0,0,0,00000000
28,defs.qc,2,eprint,37706,0,-31,0,1,0,00000000
29,defs.qc,2,walkmove,37713,0,-32,0,2,0,00000000
30,defs.qc,2,droptofloor,37722,0,-34,0,0,0,00000000
31,defs.qc,2,lightstyle,37734,0,-35,0,2,0,00000000
32,defs.qc,2,rint,37745,0,-36,0,1,0,00000000
33,defs.qc,2,floor,37750,0,-37,0,1,0,00000000
34,defs.qc,2,ceil,37756,0,-38,0,1,0,00000000
35,defs.qc,2,checkbottom,37761,0,-40,0,1,0,00000000
36,defs.qc,2,pointcontents,37773,0,-41,0,1,0,00000000
37,defs.qc,2,fabs,37787,0,-43,0,1,0,00000000
38,defs.qc,2,aim,37792,0,-44,0,2,0,00000000
39,defs.qc,2,cvar,37796,0,-45,0,1,0,00000000
40,defs.qc,2,localcmd,37801,0,-46,0,1,0,00000000
41,defs.qc,2,nextent,37810,0,-47,0,1,0,00000000
42,defs.qc,2,particle,37818,0,-48,0,4,0,00000000
43,defs.qc,2,ChangeYaw,37827,0,-49,0,0,0,00000000
44,defs.qc,2,vectoangles,37837,0,-51,0,1,0,00000000
45,defs.qc,2,WriteByte,37849,0,-52,0,2,0,00000000
46,defs.qc,2,WriteChar,37859,0,-53,0,2,0,00000000
47,defs.qc,2,WriteShort,37869,0,-54,0,2,0,00000000
48,defs.qc,2,WriteLong,37880,0,-55,0,2,0,00000000
49,defs.qc,2,WriteCoord,37890,0,-56,0,2,0,00000000
50,defs.qc,2,WriteAngle,37901,0,-57,0,2,0,00000000
51,defs.qc,2,WriteString,37912,0,-58,0,2,0,00000000
52,defs.qc,2,WriteEntity,37924,0,-59,0,2,0,00000000
53,defs.qc,2,movetogoal,37936,0,-67,0,1,0,00000000
54,defs.qc,2,precache_file,37947,0,-68,0,1,0,00000000
55,defs.qc,2,makestatic,37961,0,-69,0,1,0,00000000
56,defs.qc,2,changelevel,37972,0,-70,0,1,0,00000000
57,defs.qc,2,cvar_set,37984,0,-72,0,2,0,00000000
58,defs.qc,2,ambientsound,37993,0,-74,0,4,0,00000000
59,defs.qc,2,precache_model2,38006,0,-75,0,1,0,00000000
60,defs.qc,2,precache_sound2,38022,0,-76,0,1,0,00000000
61,defs.qc,2,precache_file2,38038,0,-77,0,1,0,00000000
62,defs.qc,2,setspawnparms,38053,0,-78,0,1,0,00000000
63,unknown001.qc,10,bot_stuffcmd,38067,0,-21,0,2,0,00000000
64,unknown001.qc,10,func000064,38080,0,1,2,2,7735,11000000
65,unknown001.qc,10,bot_centerprint,38091,0,-73,0,2,0,00000000
66,unknown001.qc,10,bot_centerprint2,38107,0,-73,0,3,0,00000000
67,unknown001.qc,10,bot_centerprint3,38124,0,-73,0,4,0,00000000
68,unknown001.qc,10,bot_centerprint4,38141,0,-73,0,5,0,00000000
69,unknown001.qc,10,bot_centerprint5,38158,0,-73,0,6,0,00000000
70,unknown001.qc,10,bot_centerprint6,38175,0,-73,0,7,0,00000000
71,unknown001.qc,10,bot_centerprint7,38192,0,-73,0,8,0,00000000
72,unknown001.qc,10,centerprint,38209,0,9,2,2,7737,11000000
73,unknown001.qc,10,centerprint2,38221,0,17,3,3,7739,11100000
74,unknown001.qc,10,func000074,38234,0,26,4,4,7742,11110000
75,unknown001.qc,10,centerprint4,38245,0,36,5,5,7746,11111000
76,unknown001.qc,10,func000076,38258,0,47,6,6,7751,11111100
77,unknown001.qc,10,centerprint6,38269,0,59,7,7,7757,11111110
78,unknown001.qc,10,centerprint7,38282,0,72,8,8,7764,11111111
79,unknown001.qc,10,bprint2,38295,0,-23,0,2,0,00000000
80,unknown001.qc,10,bprint3,38303,0,-23,0,3,0,00000000
81,unknown001.qc,10,bprint4,38311,0,-23,0,4,0,00000000
82,unknown001.qc,10,bprint5,38319,0,-23,0,5,0,00000000
83,unknown001.qc,10,bprint6,38327,0,-23,0,6,0,00000000
84,unknown001.qc,10,bprint7,38335,0,-23,0,7,0,00000000
85,unknown001.qc,10,bot_sprint,38343,0,-24,0,2,0,00000000
86,unknown001.qc,10,bot_sprint2,38354,0,-24,0,3,0,00000000
87,unknown001.qc,10,bot_sprint3,38366,0,-24,0,4,0,00000000
88,unknown001.qc,10,bot_sprint4,38378,0,-24,0,5,0,00000000
