row,name,s_name,ofs,type,typename
0,globaldef000000,0,0,0,void
1,self,68358,28,32772,
2,other,68363,29,32772,
3,world,68369,30,32772,
4,time,68375,31,32770,
5,frametime,68380,32,32770,
6,force_retouch,68390,33,32770,
7,mapname,68404,34,32769,
8,deathmatch,68412,35,32770,
9,coop,68423,36,32770,
10,teamplay,68428,37,32770,
11,serverflags,68437,38,32770,
12,total_secrets,68449,39,32770,
13,total_monsters,68463,40,32770,
14,found_secrets,68478,41,32770,
15,killed_monsters,68492,42,32770,
16,parm1,68508,43,32770,
17,parm2,68514,44,32770,
18,parm3,68520,45,32770,
19,parm4,68526,46,32770,
20,parm5,68532,47,32770,
21,parm6,68538,48,32770,
22,parm7,68544,49,32770,
23,parm8,68550,50,32770,
24,parm9,68556,51,32770,
25,parm10,68562,52,32770,
26,parm11,68569,53,32770,
27,parm12,68576,54,32770,
28,parm13,68583,55,32770,
29,parm14,68590,56,32770,
30,parm15,68597,57,32770,
31,parm16,68604,58,32770,
32,v_forward,68611,59,32771,
33,v_up,68621,62,32771,
34,v_right,68626,65,32771,
35,trace_allsolid,68634,68,32770,
36,trace_startsolid,68649,69,32770,
37,trace_fraction,68666,70,32770,
38,trace_endpos,68681,71,32771,
39,trace_plane_normal,68694,74,32771,
40,trace_plane_dist,68713,77,32770,
41,trace_ent,68730,78,32772,
42,trace_inopen,68740,79,32770,
43,trace_inwater,68753,80,32770,
44,msg_entity,68767,81,32772,
45,main,68778,82,6,void()
46,StartFrame,68783,83,6,void()
47,PlayerPreThink,68794,84,6,void()
48,PlayerPostThink,68809,85,6,void()
49,ClientKill,68825,86,6,void()
50,ClientConnect,68836,87,6,void()
51,PutClientInServer,68850,88,6,void()
52,ClientDisconnect,68868,89,6,void()
53,SetNewParms,68885,90,6,void()
54,SetChangeParms,68897,91,6,void()
55,end_sys_globals,68912,92,32768,
56,modelindex,68928,93,5,ev_field
57,absmin,68939,94,5,ev_field
58,absmin_x,68946,94,5,ev_field
59,absmin_y,68955,95,5,ev_field
60,absmin_z,68964,96,5,ev_field
61,absmax,68973,97,5,ev_field
62,absmax_x,68980,97,5,ev_field
63,absmax_y,68989,98,5,ev_field
64,absmax_z,68998,99,5,ev_field
65,ltime,69007,100,5,ev_field
66,movetype,69013,101,5,ev_field
67,solid,69022,102,5,ev_field
68,origin,69028,103,5,ev_field
69,origin_x,69035,103,5,ev_field
70,origin_y,69044,104,5,ev_field
71,origin_z,69053,105,5,ev_field
72,oldorigin,69062,106,5,ev_field
73,oldorigin_x,69072,106,5,ev_field
74,oldorigin_y,69084,107,5,ev_field
75,oldorigin_z,69096,108,5,ev_field
76,velocity,69108,109,5,ev_field
77,velocity_x,69117,109,5,ev_field
78,velocity_y,69128,110,5,ev_field
79,velocity_z,69139,111,5,ev_field
80,angles,69150,112,5,ev_field
