row,offset,id,string
0,0,0,""
1,1,1,""
2,2,2,"defs.qc"
3,10,3,"unknown001.qc"
4,24,4,"The original QuakeC source is Copyright 1996, ID Software."
5,83,5,"player"
6,90,6,"bot"
7,94,7,"no"
8,97,8," frags"
9,104,9," frag"
10,110,10,"\n\n\n"
11,114,11," - "
12,118,12,"R.I.P."
13,125,13,"Now taking"
14,136,14,"CamSavedPos"
15,148,15,"observer"
16,157,16,"Now Taking"
17,168,17,"Current camera position: "
18,194,18,"\n"
19,196,19,"bodyque"
20,204,20,"KasCam"
21,211,21,"KasCam activated\n"
22,229,22,"info_player_start"
23,247,23,"subs.qc"
24,255,24,"No speed is defined!"
25,276,25,"DelayedUse"
26,287,26,"misc/talk.wav"
27,301,27,"unknown003.qc"
28,315,28,"monster_knight"
29,330,29,"monster_movetarget: no targetname"
30,364,30,"ai.qc"
31,370,31,"monster_ogre"
32,383,32,"ogre/ogdrag.wav"
33,399,33,"ogre/ogwake.wav"
34,415,34,"knight/ksight.wav"
35,433,35,"monster_shambler"
36,450,36,"shambler/ssight.wav"
37,470,37,"monster_demon1"
38,485,38,"demon/sight2.wav"
39,502,39,"monster_wizard"
40,517,40,"wizard/wsight.wav"
41,535,41,"monster_zombie"
42,550,42,"zombie/z_idle.wav"
43,568,43,"monster_dog"
44,580,44,"dog/dsight.wav"
45,595,45,"monster_hell_knight"
46,615,46,"hknight/sight1.wav"
47,634,47,"monster_tarbaby"
48,650,48,"blob/sight1.wav"
49,666,49,"monster_vomit"
50,680,50,"vomitus/v_sight1.wav"
51,701,51,"monster_enforcer"
52,718,52,"enforcer/sight1.wav"
53,738,53,"enforcer/sight2.wav"
54,758,54,"enforcer/sight3.wav"
55,778,55,"enforcer/sight4.wav"
56,798,56,"monster_army"
57,811,57,"soldier/sight1.wav"
58,830,58,"monster_shalrath"
59,847,59,"shalrath/sight.wav"
60,866,60,"monster_dragon"
61,881,61,"unknown005.qc"
62,895,62,"items/protect3.wav"
63,914,63,"combat.qc"
64,924,64,"unknown006.qc"
65,938,65,"items/itembk2.wav"
66,956,66,"items.qc"
67,965,67,"noclass spawned at"
68,984,68,"Bonus item fell out of level at "
69,1017,69,"maps/b_bh10.bsp"
70,1033,70,"items/r_item1.wav"
71,1051,71,"maps/b_bh100.bsp"
72,1068,72,"items/r_item2.wav"
73,1086,73,"maps/b_bh25.bsp"
74,1102,74,"items/health1.wav"
75,1120,75,"You receive "
76,1133,76," health\n"
77,1142,77,"bf\n"
78,1146,78,"item_armor1"
79,1158,79,"item_armor2"
80,1170,80,"item_armorInv"
81,1184,81,"You got armor\n"
82,1199,82,"items/armor1.wav"
83,1216,83,"progs/armor.mdl"
84,1232,84,"weapon_nailgun"
85,1247,85,"weapon_supernailgun"
86,1267,86,"weapon_supershotgun"
87,1287,87,"weapon_rocketlauncher"
88,1309,88,"weapon_grenadelauncher"
89,1332,89,"weapon_lightning"
90,1349,90,"weapon_touch: unknown classname"
91,1381,91,"You got the "
92,1394,92,"weapons/pkup.wav"
93,1411,93,"progs/g_shot.mdl"
94,1428,94,"Double-barrelled Shotgun"
95,1453,95,"progs/g_nail.mdl"
96,1470,96,"nailgun"
97,1478,97,"progs/g_nail2.mdl"
98,1496,98,"Super Nailgun"
99,1510,99,"progs/g_rock.mdl"
100,1527,100,"Grenade Launcher"
101,1544,101,"progs/g_rock2.mdl"
102,1562,102,"Rocket Launcher"
103,1578,103,"progs/g_light.mdl"
104,1596,104,"Thunderbolt"
105,1608,105,"weapons/lock4.wav"
106,1626,106,"maps/b_shell1.bsp"
107,1644,107,"maps/b_shell0.bsp"
108,1662,108,"shells"
109,1669,109,"maps/b_nail1.bsp"
110,1686,110,"maps/b_nail0.bsp"
111,1703,111,"nails"
112,1709,112,"maps/b_rock1.bsp"
113,1726,113,"maps/b_rock0.bsp"
114,1743,114,"rockets"
115,1751,115,"maps/b_batt1.bsp"
116,1768,116,"maps/b_batt0.bsp"
117,1785,117,"cells"
118,1791,118,"spikes"
119,1798,119,"misc/medkey.wav"
120,1814,120,"misc/runekey.wav"
121,1831,121,"misc/basekey.wav"
122,1848,122,"progs/w_s_key.mdl"
123,1866,123,"silver key"
124,1877,124,"progs/m_s_key.mdl"
125,1895,125,"silver runekey"
126,1910,126,"progs/b_s_key.mdl"
127,1928,127,"silver keycard"
128,1943,128,"progs/w_g_key.mdl"
129,1961,129,"gold key"
130,1970,130,"progs/m_g_key.mdl"
131,1988,131,"gold runekey"
132,2001,132,"progs/b_g_key.mdl"
133,2019,133,"gold keycard"
134,2032,134,"You got the rune!"
135,2050,135,"no spawnflags"
136,2064,136,"progs/end1.mdl"
137,2079,137,"progs/end2.mdl"
138,2094,138,"progs/end3.mdl"
139,2109,139,"progs/end4.mdl"
140,2124,140,"item_artifact_invulnerability"
141,2154,141,"item_artifact_invisibility"
142,2181,142,"item_artifact_envirosuit"
143,2206,143,"item_artifact_super_damage"
144,2233,144,"progs/invulner.mdl"
145,2252,145,"items/protect.wav"
146,2270,146,"items/protect2.wav"
147,2289,147,"Pentagram of Protection"
148,2313,148,"progs/suit.mdl"
149,2328,149,"items/suit.wav"
150,2343,150,"items/suit2.wav"
151,2359,151,"Biosuit"
152,2367,152,"progs/invisibl.mdl"
153,2386,153,"items/inv1.wav"
154,2401,154,"items/inv2.wav"
155,2416,155,"items/inv3.wav"
156,2431,156,"Ring of Shadows"
157,2447,157,"progs/quaddama.mdl"
158,2466,158,"items/damage.wav"
159,2483,159,"items/damage2.wav"
160,2501,160,"items/damage3.wav"
161,2519,161,"Quad Damage"
162,2531,162,"unknown014.qc"
163,2545,163,"You get "
164,2554,164,"the "
165,2559,165,", "
166,2562,166," shells"
167,2570,167," nails"
168,2577,168," rockets"
169,2586,169," cells"
170,2593,170,"Axe"
171,2597,171,"Shotgun"
172,2605,172,"Nailgun"
173,2613,173,"progs/backpack.mdl"
174,2632,174,"door"
175,2637,175,"weapons/shellhit.wav"
176,2658,176,"shellcase"
177,2668,177,"progs/shelcase.mdl"
178,2687,178,"weapons/r_exp3.wav"
179,2706,179,"weapons/rocket1i.wav"
180,2727,180,"weapons/sgun1.wav"
181,2745,181,"weapons/guncock.wav"
182,2765,182,"weapons/ric1.wav"
183,2782,183,"weapons/ric2.wav"
184,2799,184,"weapons/ric3.wav"
185,2816,185,"weapons/spike2.wav"
186,2835,186,"weapons/tink1.wav"
187,2853,187,"weapons/grenade.wav"
188,2873,188,"weapons/bounce.wav"
189,2892,189,"weapons/shotgn2.wav"
190,2912,190,"player/axhit2.wav"
191,2930,191,"progs/zom_gib.mdl"
192,2948,192,"weapons.qc"
193,2959,193,"progs/s_explod.spr"
194,2978,194,"missile"
195,2986,195,"progs/missile.mdl"
196,3004,196,"weapons/lhit.wav"
197,3021,197,"grenade"
198,3029,198,"progs/grenade.mdl"
199,3047,199,"spike"
200,3053,200,"progs/spike.mdl"
201,3069,201,"progs/s_spike.mdl"
202,3087,202,"wizspike"
203,3096,203,"knightspike"
204,3108,204,"progs/v_axe.mdl"
205,3124,205,"progs/v_shot.mdl"
206,3141,206,"progs/v_shot2.mdl"
207,3159,207,"progs/v_nail.mdl"
208,3176,208,"progs/v_nail2.mdl"
209,3194,209,"progs/v_rock.mdl"
210,3211,210,"progs/v_rock2.mdl"
211,3229,211,"progs/v_light.mdl"
212,3247,212,"weapons/ax1.wav"
213,3263,213,"weapons/lstart.wav"
214,3282,214,"no weapon.\n"
215,3294,215,"not enough ammo.\n"
216,3312,216,"unknown016.qc"
217,3326,217,"quad cheat\n"
