row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,74781,0,2,float
2,absmin,74803,1,3,vector
3,absmin_x,74817,1,2,float
4,absmin_y,74835,2,2,float
5,absmin_z,74853,3,2,float
6,absmax,74871,4,3,vector
7,absmax_x,74885,4,2,float
8,absmax_y,74903,5,2,float
9,absmax_z,74921,6,2,float
10,ltime,74939,7,2,float
11,movetype,74951,8,2,float
12,solid,74969,9,2,float
13,origin,74981,10,3,vector
14,origin_x,74995,10,2,float
15,origin_y,75013,11,2,float
16,origin_z,75031,12,2,float
17,oldorigin,75049,13,3,vector
18,oldorigin_x,75069,13,2,float
19,oldorigin_y,75093,14,2,float
20,oldorigin_z,75117,15,2,float
21,velocity,75141,16,3,vector
22,velocity_x,75159,16,2,float
23,velocity_y,75181,17,2,float
24,velocity_z,75203,18,2,float
25,angles,75225,19,3,vector
26,angles_x,75239,19,2,float
27,angles_y,75257,20,2,float
28,angles_z,75275,21,2,float
29,avelocity,75293,22,3,vector
30,avelocity_x,75313,22,2,float
31,avelocity_y,75337,23,2,float
32,avelocity_z,75361,24,2,float
33,punchangle,75385,25,3,vector
34,punchangle_x,75407,25,2,float
35,punchangle_y,75433,26,2,float
36,punchangle_z,75459,27,2,float
37,classname,75485,28,1,string
38,model,75505,29,1,string
39,frame,75517,30,2,float
40,skin,75529,31,2,float
41,effects,75539,32,2,float
42,mins,75555,33,3,vector
43,mins_x,75565,33,2,float
44,mins_y,75579,34,2,float
45,mins_z,75593,35,2,float
46,maxs,75607,36,3,vector
47,maxs_x,75617,36,2,float
48,maxs_y,75631,37,2,float
49,maxs_z,75645,38,2,float
50,size,75659,39,3,vector
51,size_x,75669,39,2,float
52,size_y,75683,40,2,float
53,size_z,75697,41,2,float
54,touch,75711,42,6,void()
55,use,75723,43,6,void()
56,think,75731,44,6,void()
57,blocked,75743,45,6,void()
58,nextthink,75759,46,2,float
59,groundentity,75779,47,4,entity
60,health,75805,48,2,float
61,frags,75819,49,2,float
62,weapon,75831,50,2,float
63,weaponmodel,75845,51,1,string
64,weaponframe,75869,52,2,float
65,currentammo,75893,53,2,float
66,ammo_shells,75917,54,2,float
67,ammo_nails,75941,55,2,float
68,ammo_rockets,75963,56,2,float
69,ammo_cells,75989,57,2,float
70,items,76011,58,2,float
71,takedamage,76023,59,2,float
72,chain,76045,60,4,entity
73,deadflag,76057,61,2,float
74,view_ofs,76075,62,3,vector
75,view_ofs_x,76093,62,2,float
76,view_ofs_y,76115,63,2,float
77,view_ofs_z,76137,64,2,float
78,button0,76159,65,2,float
79,button1,76175,66,2,float
80,button2,76191,67,2,float
81,impulse,76207,68,2,float
82,fixangle,76223,69,2,float
83,v_angle,76241,70,3,vector
84,v_angle_x,76257,70,2,float
85,v_angle_y,76277,71,2,float
86,v_angle_z,76297,72,2,float
87,idealpitch,76317,73,2,float
88,netname,76339,74,1,string
89,enemy,76355,75,4,entity
90,flags,76367,76,2,float
91,colormap,76379,77,2,float
92,team,76397,78,2,float
93,max_health,76407,79,2,float
94,teleport_time,76429,80,2,float
95,armortype,76457,81,2,float
96,armorvalue,76477,82,2,float
97,waterlevel,76499,83,2,float
98,watertype,76521,84,2,float
99,ideal_yaw,76541,85,2,float
100,yaw_speed,76561,86,2,float
101,aiment,76581,87,4,entity
102,goalentity,76595,88,4,entity
103,spawnflags,76617,89,2,float
104,target,76639,90,1,string
105,targetname,76653,91,1,string
106,dmg_take,76675,92,2,float
107,dmg_save,76693,93,2,float
108,dmg_inflictor,76711,94,4,entity
109,owner,76739,95,4,entity
110,movedir,76751,96,3,vector
111,movedir_x,76767,96,2,float
112,movedir_y,76787,97,2,float
113,movedir_z,76807,98,2,float
114,message,76827,99,1,string
115,sounds,76843,100,2,float
116,noise,76857,101,1,string
117,noise1,76869,102,1,string
118,noise2,76883,103,1,string
119,noise3,76897,104,1,string
120,wad,78784,105,1,string
121,map,78792,106,1,string
122,worldtype,78800,107,2,float
123,killtarget,78820,108,1,string
124,light_lev,78842,109,2,float
125,style,78862,110,2,float
126,th_stand,78874,111,6,void()
127,th_walk,78892,112,6,void()
128,th_run,78908,113,6,void()
129,th_missile,78922,114,6,void()
130,th_melee,78944,115,6,void()
131,th_pain,78962,116,6,void()
132,th_die,78978,117,6,void()
133,oldenemy,78992,118,4,entity
134,speed,79010,119,2,float
135,lefty,79022,120,2,float
136,search_time,79034,121,2,float
137,attack_state,79058,122,2,float
138,walkframe,79127,123,2,float
139,attack_finished,79147,124,2,float
140,pain_finished,79179,125,2,float
141,invincible_finished,79207,126,2,float
142,invisible_finished,79247,127,2,float
143,super_damage_finished,79285,128,2,float
144,radsuit_finished,79329,129,2,float
145,invincible_time,79363,130,2,float
146,invincible_sound,79395,131,2,float
147,invisible_time,79429,132,2,float
148,invisible_sound,79459,133,2,float
149,super_time,79491,134,2,float
150,super_sound,79513,135,2,float
151,rad_time,79537,136,2,float
152,fly_sound,79555,137,2,float
153,axhitme,79575,138,2,float
154,show_hostile,79591,139,2,float
155,jump_flag,79617,140,2,float
156,swim_flag,79637,141,2,float
157,air_finished,79657,142,2,float
158,bubble_count,79683,143,2,float
159,deathtype,79709,144,1,string
160,mdl,79729,145,1,string
161,mangle,79737,146,3,vector
162,mangle_x,79751,146,2,float
163,mangle_y,79769,147,2,float
164,mangle_z,79787,148,2,float
165,t_length,79805,149,2,float
166,t_width,79823,150,2,float
167,dest,79839,151,3,vector
168,dest_x,79849,151,2,float
169,dest_y,79863,152,2,float
170,dest_z,79877,153,2,float
171,dest1,79891,154,3,vector
172,dest1_x,79903,154,2,float
173,dest1_y,79919,155,2,float
174,dest1_z,79935,156,2,float
175,dest2,79951,157,3,vector
176,dest2_x,79963,157,2,float
177,dest2_y,79979,158,2,float
178,dest2_z,79995,159,2,float
179,wait,80011,160,2,float
180,delay,80021,161,2,float
181,trigger_field,80033,162,4,entity
182,noise4,80061,163,1,string
183,pausetime,80075,164,2,float
184,movetarget,80095,165,4,entity
185,aflag,80117,166,2,float
186,dmg,80129,167,2,float
187,cnt,80137,168,2,float
188,think1,80145,169,6,void()
189,finaldest,80159,170,3,vector
190,finaldest_x,80179,170,2,float
191,finaldest_y,80203,171,2,float
192,finaldest_z,80227,172,2,float
193,finalangle,80251,173,3,vector
194,finalangle_x,80273,173,2,float
195,finalangle_y,80299,174,2,float
196,finalangle_z,80325,175,2,float
197,count,80351,176,2,float
198,lip,80363,177,2,float
199,state,80371,178,2,float
200,pos1,80383,179,3,vector
201,pos1_x,80393,179,2,float
202,pos1_y,80407,180,2,float
203,pos1_z,80421,181,2,float
204,pos2,80435,182,3,vector
205,pos2_x,80445,182,2,float
206,pos2_y,80459,183,2,float
207,pos2_z,80473,184,2,float
208,height,80487,185,2,float
209,waitmin,80501,186,2,float
210,waitmax,80517,187,2,float
211,distance,80533,188,2,float
212,volume,80551,189,2,float
213,ra_next,81351,190,4,entity
