row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func0_fs0,0,0,0,0,0,0,00000000
1,unknown.qc,0,makevectors,8,0,-1,0,1,453,30000000
2,unknown.qc,0,setorigin,20,0,-2,0,2,454,13000000
3,unknown.qc,0,setmodel,30,0,-3,0,2,455,11000000
4,unknown.qc,0,setsize,39,0,-4,0,3,456,13300000
5,unknown.qc,0,break,47,0,-6,0,0,457,00000000
6,unknown.qc,0,random,53,0,-7,0,0,458,00000000
7,unknown.qc,0,sound,60,0,-8,0,5,459,11111000
8,unknown.qc,0,normalize,66,0,-9,0,1,460,30000000
9,unknown.qc,0,error,76,0,-10,0,1,461,10000000
10,unknown.qc,0,objerror,82,0,-11,0,1,462,10000000
11,unknown.qc,0,vlen,91,0,-12,0,1,463,30000000
12,unknown.qc,0,vectoyaw,96,0,-13,0,1,464,30000000
13,unknown.qc,0,spawn,105,0,-14,0,0,465,00000000
14,unknown.qc,0,remove,111,0,-15,0,1,466,10000000
15,unknown.qc,0,traceline,118,0,-16,0,4,467,33110000
16,unknown.qc,0,checkclient,128,0,-17,0,0,468,00000000
17,unknown.qc,0,find,140,0,-18,0,3,469,11100000
18,unknown.qc,0,precache_sound,145,0,-19,0,1,470,10000000
19,unknown.qc,0,precache_model,160,0,-20,0,1,471,10000000
20,unknown.qc,0,findradius,175,0,-22,0,2,472,31000000
21,unknown.qc,0,bprint,186,0,-23,0,1,473,10000000
22,unknown.qc,0,dprint,193,0,-25,0,1,474,10000000
23,unknown.qc,0,ftos,200,0,-26,0,1,475,10000000
24,unknown.qc,0,vtos,205,0,-27,0,1,476,30000000
25,unknown.qc,0,coredump,210,0,-28,0,0,477,00000000
26,unknown.qc,0,traceon,219,0,-29,0,0,478,00000000
27,unknown.qc,0,traceoff,227,0,-30,0,0,479,00000000
28,unknown.qc,0,eprint,236,0,-31,0,1,480,10000000
29,unknown.qc,0,walkmove,243,0,-32,0,2,481,11000000
30,unknown.qc,0,droptofloor,252,0,-34,0,0,482,00000000
31,unknown.qc,0,lightstyle,264,0,-35,0,2,483,11000000
32,unknown.qc,0,rint,275,0,-36,0,1,484,10000000
33,unknown.qc,0,floor,280,0,-37,0,1,485,10000000
34,unknown.qc,0,ceil,286,0,-38,0,1,486,10000000
35,unknown.qc,0,checkbottom,291,0,-40,0,1,487,10000000
36,unknown.qc,0,pointcontents,303,0,-41,0,1,488,30000000
37,unknown.qc,0,fabs,317,0,-43,0,1,489,10000000
38,unknown.qc,0,aim,322,0,-44,0,2,490,11000000
39,unknown.qc,0,cvar,326,0,-45,0,1,491,10000000
40,unknown.qc,0,localcmd,331,0,-46,0,1,492,10000000
41,unknown.qc,0,nextent,340,0,-47,0,1,493,10000000
42,unknown.qc,0,particle,348,0,-48,0,4,494,33110000
43,unknown.qc,0,ChangeYaw,357,0,-49,0,0,495,00000000
44,unknown.qc,0,vectoangles,367,0,-51,0,1,496,30000000
45,unknown.qc,0,WriteByte,379,0,-52,0,2,497,11000000
46,unknown.qc,0,WriteChar,389,0,-53,0,2,498,11000000
47,unknown.qc,0,WriteShort,399,0,-54,0,2,499,11000000
48,unknown.qc,0,WriteLong,410,0,-55,0,2,500,11000000
49,unknown.qc,0,WriteCoord,420,0,-56,0,2,501,11000000
50,unknown.qc,0,WriteAngle,431,0,-57,0,2,502,11000000
51,unknown.qc,0,WriteString,442,0,-58,0,2,503,11000000
52,unknown.qc,0,WriteEntity,454,0,-59,0,2,504,11000000
53,unknown.qc,0,movetogoal,466,0,-67,0,1,505,10000000
54,unknown.qc,0,precache_file,477,0,-68,0,1,506,10000000
55,unknown.qc,0,makestatic,491,0,-69,0,1,507,10000000
56,unknown.qc,0,changelevel,502,0,-70,0,1,508,10000000
57,unknown.qc,0,cvar_set,514,0,-72,0,2,509,11000000
58,unknown.qc,0,ambientsound,523,0,-74,0,4,510,31110000
59,unknown.qc,0,precache_model2,536,0,-75,0,1,511,10000000
60,unknown.qc,0,precache_sound2,552,0,-76,0,1,512,10000000
61,unknown.qc,0,precache_file2,568,0,-77,0,1,513,10000000
62,unknown.qc,0,setspawnparms,583,0,-78,0,1,514,10000000
63,unknown.qc,0,bot_stuffcmd,616,0,-21,0,2,839,11000000
64,unknown.qc,0,func64_fs1,0,0,1,0,2,840,11000000
65,unknown.qc,0,bot_centerprint,638,0,-73,0,2,846,11000000
66,unknown.qc,0,bot_centerprint2,654,0,-73,0,3,847,11100000
67,unknown.qc,0,bot_centerprint3,671,0,-73,0,4,848,11110000
68,unknown.qc,0,bot_centerprint4,688,0,-73,0,5,849,11111000
69,unknown.qc,0,bot_centerprint5,705,0,-73,0,6,850,11111100
70,unknown.qc,0,bot_centerprint6,722,0,-73,0,7,851,11111110
71,unknown.qc,0,bot_centerprint7,739,0,-73,0,8,852,11111111
72,unknown.qc,0,func72_fs9,0,0,9,0,2,853,11000000
73,unknown.qc,0,centerprint2,768,0,17,0,3,859,11100000
74,unknown.qc,0,func74_fs26,0,0,26,0,4,866,11110000
75,unknown.qc,0,centerprint4,794,0,36,0,5,874,11111000
76,unknown.qc,0,func76_fs47,0,0,47,0,6,883,11111100
77,unknown.qc,0,centerprint6,820,0,59,0,7,893,11111110
78,unknown.qc,0,centerprint7,833,0,72,0,8,904,11111111
79,unknown.qc,0,bprint2,846,0,-23,0,2,916,11000000
80,unknown.qc,0,bprint3,854,0,-23,0,3,917,11100000
81,unknown.qc,0,bprint4,862,0,-23,0,4,918,11110000
82,unknown.qc,0,bprint5,870,0,-23,0,5,919,11111000
83,unknown.qc,0,bprint6,878,0,-23,0,6,920,11111100
84,unknown.qc,0,bprint7,886,0,-23,0,7,921,11111110
85,unknown.qc,0,bot_sprint,894,0,-24,0,2,922,11000000
86,unknown.qc,0,bot_sprint2,905,0,-24,0,3,923,11100000
87,unknown.qc,0,bot_sprint3,917,0,-24,0,4,924,11110000
88,unknown.qc,0,bot_sprint4,929,0,-24,0,5,925,11111000
89,unknown.qc,0,bot_sprint5,941,0,-24,0,6,926,11111100
90,unknown.qc,0,bot_sprint6,953,0,-24,0,7,927,11111110
91,unknown.qc,0,bot_sprint7,965,0,-24,0,8,928,11111111
92,unknown.qc,0,func92_fs86,0,0,86,0,2,929,11000000
93,unknown.qc,0,func93_fs94,0,0,94,0,3,935,11100000
94,unknown.qc,0,func94_fs103,0,0,103,0,4,942,11110000
95,unknown.qc,0,sprint4,1000,0,113,0,5,950,11111000
96,unknown.qc,0,sprint5,1008,0,124,0,6,959,11111100
97,unknown.qc,0,sprint6,1016,0,136,0,7,969,11111110
98,unknown.qc,0,sprint7,1024,0,149,0,8,980,11111111
99,unknown.qc,0,objerror2,1032,0,-11,0,2,992,11000000
100,unknown.qc,0,objerror3,1042,0,-11,0,3,993,11100000
101,unknown.qc,0,objerror4,1052,0,-11,0,4,994,11110000
102,unknown.qc,0,objerror5,1062,0,-11,0,5,995,11111000
103,unknown.qc,0,objerror6,1072,0,-11,0,6,996,11111100
104,unknown.qc,0,objerror7,1082,0,-11,0,7,997,11111110
105,unknown.qc,0,IDCopyright,1151,0,163,0,0,998,00000000
106,unknown.qc,0,func106_fs166,0,0,166,0,1,1231,10000000
107,unknown.qc,0,func107_fs192,0,0,192,0,1,1243,10000000
108,unknown.qc,0,camcenterprint1,1222,0,-73,0,2,1258,11000000
109,unknown.qc,0,camcenterprint2,1238,0,-73,0,3,1259,11100000
110,unknown.qc,0,camcenterprint3,1254,0,-73,0,4,1260,11110000
111,unknown.qc,0,camcenterprint4,1270,0,-73,0,5,1261,11111000
112,unknown.qc,0,camcenterprint5,1286,0,-73,0,6,1262,11111100
113,unknown.qc,0,camcenterprint6,1302,0,-73,0,7,1263,11111110
114,unknown.qc,0,camcenterprint7,1318,0,-73,0,8,1264,11111111
115,unknown.qc,0,func115_fs210,0,0,210,4,2,1265,11000000
116,unknown.qc,0,func116_fs235,0,0,235,2,1,1281,10000000
117,unknown.qc,0,func117_fs257,0,0,257,0,1,1295,10000000
118,unknown.qc,0,func118_fs269,0,0,269,0,1,1304,30000000
119,unknown.qc,0,func119_fs281,0,0,281,4,1,1315,10000000
120,unknown.qc,0,func120_fs301,0,0,301,7,0,1329,00000000
121,unknown.qc,0,func121_fs341,0,0,341,5,2,1361,11000000
122,unknown.qc,0,func122_fs360,0,0,360,13,3,1375,11100000
123,unknown.qc,0,func123_fs439,0,0,439,10,1,1428,30000000
124,unknown.qc,0,func124_fs487,0,0,487,9,2,1475,11000000
125,unknown.qc,0,func125_fs608,0,0,608,0,0,1570,00000000
126,unknown.qc,0,func126_fs622,0,0,622,0,0,1589,00000000
127,unknown.qc,0,func127_fs636,0,0,636,0,0,1601,00000000
128,unknown.qc,0,func128_fs658,0,0,658,4,1,1620,10000000
129,unknown.qc,0,func129_fs665,0,0,665,13,1,1630,10000000
130,unknown.qc,0,func130_fs946,0,0,946,6,0,1840,00000000
131,unknown.qc,0,func131_fs987,0,0,987,3,0,1878,00000000
132,unknown.qc,0,func132_fs1005,0,0,1005,0,0,1900,00000000
133,unknown.qc,0,func133_fs1032,0,0,1032,2,1,1938,10000000
134,unknown.qc,0,func134_fs1051,0,0,1051,2,1,1946,10000000
135,unknown.qc,0,func135_fs1067,0,0,1067,2,1,1965,10000000
136,unknown.qc,0,func136_fs1094,0,0,1094,3,0,1993,00000000
137,unknown.qc,0,func137_fs1401,0,0,1401,1,0,2178,00000000
138,unknown.qc,0,func138_fs1474,0,0,1474,2,1,2233,10000000
139,unknown.qc,0,func139_fs1490,0,0,1490,12,0,2247,00000000
140,unknown.qc,0,func140_fs1783,0,0,1783,9,0,2458,00000000
141,unknown.qc,0,func141_fs1920,0,0,1920,4,0,2551,00000000
142,unknown.qc,0,func142_fs1958,0,0,1958,21,0,2575,00000000
143,unknown.qc,0,func143_fs2087,0,0,2087,1,0,2692,00000000
144,unknown.qc,0,func144_fs2182,0,0,2182,0,0,2797,00000000
145,unknown.qc,0,func145_fs2228,0,0,2228,2,0,2816,00000000
146,unknown.qc,0,func146_fs2348,0,0,2348,3,0,2910,00000000
147,unknown.qc,0,func147_fs2374,0,0,2374,2,0,2933,00000000
148,unknown.qc,0,func148_fs2407,0,0,2407,4,2,2944,11000000
149,subs.qc,0,SUB_Null,0,0,2438,0,0,2956,00000000
150,subs.qc,0,SUB_Remove,0,0,2439,0,0,2956,00000000
151,subs.qc,0,SetMovedir,0,0,2442,0,0,2957,00000000
152,subs.qc,0,InitTrigger,0,0,2462,0,0,2993,00000000
153,subs.qc,0,SUB_CalcMoveEnt,1948,0,2479,7,4,3003,13110000
154,subs.qc,0,SUB_CalcMove,0,0,2487,10,3,3010,31100000
155,subs.qc,0,SUB_CalcMoveDone,0,0,2533,0,0,3062,00000000
156,subs.qc,0,SUB_CalcAngleMoveEnt,2015,0,2546,7,4,3072,13110000
157,subs.qc,0,SUB_CalcAngleMove,0,0,2554,10,3,3079,31100000
158,subs.qc,0,SUB_CalcAngleMoveDone,0,0,2581,0,0,3112,00000000
159,subs.qc,0,DelayThink,0,0,2593,0,0,3125,00000000
160,subs.qc,0,SUB_UseTargets,0,0,2599,4,0,3126,00000000
161,subs.qc,0,SUB_AttackFinished,0,0,2686,0,1,3164,10000000
162,subs.qc,0,SUB_CheckRefire,0,0,2694,0,1,3171,10000000
163,fight.qc,0,knight_attack,0,0,2712,1,0,3196,00000000
164,fight.qc,0,CheckAttack,0,0,2730,8,0,3222,00000000
165,fight.qc,0,ai_face,0,0,2809,0,0,3274,00000000
166,fight.qc,0,ai_charge,0,0,2819,0,1,3288,10000000
167,fight.qc,0,ai_charge_side,0,0,2823,4,0,3290,00000000
168,fight.qc,0,ai_melee,0,0,2849,4,0,3325,00000000
169,fight.qc,0,ai_melee_side,0,0,2877,4,0,3347,00000000
170,fight.qc,0,SoldierCheckAttack,0,0,2913,8,0,3371,00000000
171,fight.qc,0,ShamCheckAttack,0,0,2973,8,0,3415,00000000
172,fight.qc,0,OgreCheckAttack,0,0,3029,8,0,3459,00000000
173,ai.qc,0,anglemod,0,0,3093,0,1,3510,10000000
174,ai.qc,0,movetarget_f,0,0,3105,0,0,3515,00000000
175,ai.qc,0,path_corner,2379,0,3119,0,0,3527,00000000
176,ai.qc,0,t_movetarget,0,0,3121,1,0,3527,00000000
177,ai.qc,0,range,0,0,3167,8,1,3555,10000000
178,ai.qc,0,visible,0,0,3190,7,1,3588,10000000
179,ai.qc,0,infront,0,0,3211,5,1,3615,10000000
180,ai.qc,0,HuntTarget,0,0,3227,0,0,3635,00000000
181,ai.qc,0,SightSound,0,0,3247,1,0,3653,00000000
182,ai.qc,0,FoundTarget,0,0,3409,0,0,3712,00000000
183,ai.qc,0,func183_fs3421,0,0,3421,4,0,3718,00000000
184,ai.qc,0,FindTarget,0,0,3446,2,0,3735,00000000
185,ai.qc,0,ai_forward,0,0,3538,0,1,3783,10000000
186,ai.qc,0,ai_back,0,0,3543,0,1,3786,10000000
187,ai.qc,0,ai_pain,0,0,3549,0,1,3790,10000000
188,ai.qc,0,ai_painforward,0,0,3552,0,1,3792,10000000
189,ai.qc,0,ai_walk,0,0,3557,4,1,3795,10000000
190,ai.qc,0,ai_stand,0,0,3570,0,0,3803,00000000
191,ai.qc,0,ai_turn,0,0,3580,0,0,3807,00000000
192,ai.qc,0,ChooseTurn,3072,0,3585,9,1,3807,30000000
193,ai.qc,0,FacingIdeal,0,0,3608,1,0,3829,00000000
194,ai.qc,0,CheckAnyAttack,0,0,3621,0,0,3840,00000000
195,ai.qc,0,ai_run_melee,0,0,3657,0,0,3854,00000000
196,ai.qc,0,ai_run_missile,0,0,3667,0,0,3858,00000000
197,ai.qc,0,ai_run_slide,0,0,3677,1,0,3862,00000000
198,ai.qc,0,ai_run,0,0,3702,9,1,3874,10000000
199,combat.qc,0,CanDamage,0,0,3781,0,2,3926,11000000
200,unknown.qc,0,func200_fs3857,0,0,3857,3,2,4007,11000000
201,unknown.qc,0,func201_fs3930,0,0,3930,10,4,4044,11110000
202,unknown.qc,0,func202_fs4114,0,0,4114,9,4,4217,11110000
203,unknown.qc,0,T_BeamDamage,3227,0,4172,4,2,4267,11000000
204,unknown.qc,0,func204_fs4222,0,0,4222,0,0,4297,00000000
205,unknown.qc,0,noclass,3295,0,4238,0,0,4305,00000000
206,unknown.qc,0,func206_fs4250,0,0,4250,1,0,4310,00000000
207,unknown.qc,0,func207_fs4283,0,0,4283,0,0,4329,00000000
208,unknown.qc,0,func208_fs4289,0,0,4289,0,3,4332,11100000
209,unknown.qc,0,item_health,3466,0,4323,0,0,4362,00000000
210,unknown.qc,0,func210_fs4388,0,0,4388,2,0,4390,00000000
211,unknown.qc,0,func211_fs4492,0,0,4492,0,0,4432,00000000
212,unknown.qc,0,func212_fs4527,0,0,4527,3,0,4455,00000000
213,unknown.qc,0,item_armor1,3635,0,4633,0,0,4513,00000000
214,unknown.qc,0,item_armor2,3647,0,4652,0,0,4525,00000000
215,unknown.qc,0,item_armorInv,3659,0,4675,0,0,4532,00000000
216,unknown.qc,0,func216_fs4698,0,0,4698,0,0,4539,00000000
217,unknown.qc,0,func217_fs4719,0,0,4719,0,1,4552,10000000
218,unknown.qc,0,func218_fs4739,0,0,4739,4,2,4560,11000000
219,unknown.qc,0,func219_fs4751,0,0,4751,6,0,4569,00000000
220,unknown.qc,0,weapon_supershotgun,3956,0,4953,0,0,4672,00000000
221,unknown.qc,0,weapon_nailgun,4001,0,4976,0,0,4681,00000000
222,unknown.qc,0,weapon_supernailgun,4048,0,4999,0,0,4690,00000000
223,unknown.qc,0,weapon_grenadelauncher,4102,0,5022,0,0,4699,00000000
224,unknown.qc,0,weapon_rocketlauncher,4159,0,5045,0,0,4708,00000000
225,unknown.qc,0,weapon_lightning,4211,0,5068,0,0,4717,00000000
226,unknown.qc,0,func226_fs5091,0,0,5091,2,0,4726,00000000
227,unknown.qc,0,item_shells,4300,0,5228,0,0,4791,00000000
228,unknown.qc,0,item_spikes,4352,0,5260,0,0,4803,00000000
229,unknown.qc,0,item_rockets,4406,0,5292,0,0,4815,00000000
230,unknown.qc,0,item_cells,4459,0,5324,0,0,4827,00000000
231,unknown.qc,0,item_weapon,4477,0,5356,0,0,4843,00000000
232,unknown.qc,0,func232_fs5439,0,0,5439,2,0,4870,00000000
233,unknown.qc,0,func233_fs5497,0,0,5497,0,0,4895,00000000
234,unknown.qc,0,item_key1,4658,0,5521,0,0,4908,00000000
235,unknown.qc,0,item_key2,4757,0,5564,0,0,4926,00000000
236,unknown.qc,0,func236_fs5607,0,0,5607,2,0,4944,00000000
237,unknown.qc,0,item_sigil,4871,0,5643,0,0,4959,00000000
238,unknown.qc,0,func238_fs5692,0,0,5692,2,0,4977,00000000
239,unknown.qc,0,item_artifact_invulnerability,5085,0,5807,0,0,5039,00000000
240,unknown.qc,0,item_artifact_envirosuit,5169,0,5838,0,0,5051,00000000
241,unknown.qc,0,item_artifact_invisibility,5274,0,5863,0,0,5061,00000000
242,unknown.qc,0,item_artifact_super_damage,5385,0,5894,0,0,5074,00000000
243,unknown.qc,0,func243_fs5925,0,0,5925,6,0,5087,00000000
244,unknown.qc,0,func244_fs6139,0,0,6139,1,0,5178,00000000
245,unknown.qc,0,func245_fs6255,0,0,6255,0,0,5255,00000000
246,unknown.qc,0,func246_fs6260,0,0,6260,1,0,5257,00000000
247,unknown.qc,0,func247_fs6313,0,0,6313,8,2,5298,33000000
248,unknown.qc,0,func248_fs6403,0,0,6403,0,0,5358,00000000
249,unknown.qc,0,func249_fs6428,0,0,6428,0,0,5371,00000000
250,unknown.qc,0,func250_fs6433,0,0,6433,0,2,5374,11000000
251,unknown.qc,0,func251_fs6440,0,0,6440,6,0,5380,00000000
252,unknown.qc,0,func252_fs6498,0,0,6498,3,0,5415,00000000
253,unknown.qc,0,func253_fs6520,0,0,6520,8,2,5445,33000000
254,unknown.qc,0,func254_fs6558,0,0,6558,0,3,5477,33100000
255,unknown.qc,0,func255_fs6566,0,0,6566,4,1,5490,10000000
256,unknown.qc,0,SpawnChunk,6009,0,6577,0,2,5508,33000000
257,unknown.qc,0,func257_fs6584,0,0,6584,0,0,5521,00000000
258,unknown.qc,0,func258_fs6587,0,0,6587,0,0,5522,00000000
259,unknown.qc,0,func259_fs6596,0,0,6596,0,2,5524,11000000
260,unknown.qc,0,func260_fs6608,0,0,6608,10,2,5530,13000000
261,unknown.qc,0,func261_fs6652,0,0,6652,13,3,5572,13300000
262,unknown.qc,0,func262_fs6693,0,0,6693,3,0,5626,00000000
