row,offset,id,string
0,0,0,""
1,1,1,""
2,2,2,""
3,3,3,""
4,4,4,""
5,5,5,""
6,6,6,""
7,7,7,""
8,8,8,"makevectors"
9,20,9,"setorigin"
10,30,10,"setmodel"
11,39,11,"setsize"
12,47,12,"break"
13,53,13,"random"
14,60,14,"sound"
15,66,15,"normalize"
16,76,16,"error"
17,82,17,"objerror"
18,91,18,"vlen"
19,96,19,"vectoyaw"
20,105,20,"spawn"
21,111,21,"remove"
22,118,22,"traceline"
23,128,23,"checkclient"
24,140,24,"find"
25,145,25,"precache_sound"
26,160,26,"precache_model"
27,175,27,"findradius"
28,186,28,"bprint"
29,193,29,"dprint"
30,200,30,"ftos"
31,205,31,"vtos"
32,210,32,"coredump"
33,219,33,"traceon"
34,227,34,"traceoff"
35,236,35,"eprint"
36,243,36,"walkmove"
37,252,37,"droptofloor"
38,264,38,"lightstyle"
39,275,39,"rint"
40,280,40,"floor"
41,286,41,"ceil"
42,291,42,"checkbottom"
43,303,43,"pointcontents"
44,317,44,"fabs"
45,322,45,"aim"
46,326,46,"cvar"
47,331,47,"localcmd"
48,340,48,"nextent"
49,348,49,"particle"
50,357,50,"ChangeYaw"
51,367,51,"vectoangles"
52,379,52,"WriteByte"
53,389,53,"WriteChar"
54,399,54,"WriteShort"
55,410,55,"WriteLong"
56,420,56,"WriteCoord"
57,431,57,"WriteAngle"
58,442,58,"WriteString"
59,454,59,"WriteEntity"
60,466,60,"movetogoal"
61,477,61,"precache_file"
62,491,62,"makestatic"
63,502,63,"changelevel"
64,514,64,"cvar_set"
65,523,65,"ambientsound"
66,536,66,"precache_model2"
67,552,67,"precache_sound2"
68,568,68,"precache_file2"
69,583,69,"setspawnparms"
70,597,70,"ra_defs.c"
71,607,71,""
72,608,72,""
73,609,73,""
74,610,74,""
75,611,75,""
76,612,76,""
77,613,77,""
78,614,78,""
79,615,79,""
80,616,80,"bot_stuffcmd"
81,629,81,"stuffcmd"
82,638,82,"bot_centerprint"
83,654,83,"bot_centerprint2"
84,671,84,"bot_centerprint3"
85,688,85,"bot_centerprint4"
86,705,86,"bot_centerprint5"
87,722,87,"bot_centerprint6"
88,739,88,"bot_centerprint7"
89,756,89,""
90,757,90,""
91,758,91,""
92,759,92,""
93,760,93,""
94,761,94,""
95,762,95,""
96,763,96,""
97,764,97,""
98,765,98,""
99,766,99,""
100,767,100,""
101,768,101,"centerprint2"
102,781,102,""
103,782,103,""
104,783,104,""
105,784,105,""
106,785,106,""
107,786,107,""
108,787,108,""
109,788,109,""
110,789,110,""
111,790,111,""
112,791,112,""
113,792,113,""
114,793,114,""
115,794,115,"centerprint4"
116,807,116,""
117,808,117,""
118,809,118,""
119,810,119,""
120,811,120,""
121,812,121,""
122,813,122,""
123,814,123,""
124,815,124,""
125,816,125,""
126,817,126,""
127,818,127,""
128,819,128,""
129,820,129,"centerprint6"
130,833,130,"centerprint7"
131,846,131,"bprint2"
132,854,132,"bprint3"
133,862,133,"bprint4"
134,870,134,"bprint5"
135,878,135,"bprint6"
136,886,136,"bprint7"
137,894,137,"bot_sprint"
138,905,138,"bot_sprint2"
139,917,139,"bot_sprint3"
140,929,140,"bot_sprint4"
141,941,141,"bot_sprint5"
142,953,142,"bot_sprint6"
143,965,143,"bot_sprint7"
144,977,144,""
145,978,145,""
146,979,146,""
147,980,147,""
148,981,148,""
149,982,149,""
150,983,150,""
151,984,151,""
152,985,152,""
153,986,153,""
154,987,154,""
155,988,155,""
156,989,156,""
157,990,157,""
158,991,158,""
159,992,159,""
160,993,160,""
161,994,161,""
162,995,162,""
163,996,163,""
164,997,164,""
165,998,165,""
166,999,166,""
167,1000,167,"sprint4"
168,1008,168,"sprint5"
169,1016,169,"sprint6"
170,1024,170,"sprint7"
171,1032,171,"objerror2"
172,1042,172,"objerror3"
173,1052,173,"objerror4"
174,1062,174,"objerror5"
175,1072,175,"objerror6"
176,1082,176,"objerror7"
177,1092,177,"The original QuakeC source is Copyright 1996, ID Software."
178,1151,178,"IDCopyright"
179,1163,179,"b_func.c"
180,1172,180,"qtvdefs.c"
181,1182,181,""
182,1183,182,""
183,1184,183,""
184,1185,184,""
185,1186,185,""
186,1187,186,""
187,1188,187,""
188,1189,188,""
189,1190,189,""
190,1191,190,"player"
191,1198,191,"bot"
192,1202,192,""
193,1203,193,""
194,1204,194,""
195,1205,195,""
196,1206,196,""
197,1207,197,""
198,1208,198,""
199,1209,199,""
200,1210,200,""
201,1211,201,""
202,1212,202,""
203,1213,203,""
204,1214,204,""
205,1215,205,""
206,1216,206,""
207,1217,207,""
208,1218,208,""
209,1219,209,""
210,1220,210,""
211,1221,211,""
212,1222,212,"camcenterprint1"
213,1238,213,"camcenterprint2"
214,1254,214,"camcenterprint3"
215,1270,215,"camcenterprint4"
216,1286,216,"camcenterprint5"
217,1302,217,"camcenterprint6"
218,1318,218,"camcenterprint7"
219,1334,219,"no"
220,1337,220," frags"
221,1344,221," frag"
222,1350,222,"\n\n\n"
223,1354,223," - "
224,1358,224,""
225,1359,225,""
226,1360,226,""
227,1361,227,""
228,1362,228,""
229,1363,229,""
230,1364,230,""
231,1365,231,""
232,1366,232,""
233,1367,233,""
234,1368,234,""
235,1369,235,""
236,1370,236,""
237,1371,237,""
238,1372,238,""
239,1373,239,""
240,1374,240,""
241,1375,241,""
242,1376,242,""
243,1377,243,""
244,1378,244,""
245,1379,245,""
246,1380,246,""
247,1381,247,""
248,1382,248,""
249,1383,249,""
250,1384,250,""
251,1385,251,""
252,1386,252,""
253,1387,253,""
254,1388,254,""
255,1389,255,""
256,1390,256,""
257,1391,257,""
258,1392,258,""
259,1393,259,""
260,1394,260,""
261,1395,261,""
262,1396,262,""
263,1397,263,""
264,1398,264,""
265,1399,265,""
266,1400,266,""
267,1401,267,""
268,1402,268,""
269,1403,269,""
270,1404,270,""
271,1405,271,""
272,1406,272,""
273,1407,273,""
274,1408,274,""
275,1409,275,""
276,1410,276,""
277,1411,277,""
278,1412,278,""
279,1413,279,""
280,1414,280,""
281,1415,281,""
282,1416,282,""
283,1417,283,""
284,1418,284,""
285,1419,285,""
286,1420,286,""
287,1421,287,""
288,1422,288,""
289,1423,289,""
290,1424,290,""
291,1425,291,""
292,1426,292,""
293,1427,293,""
294,1428,294,""
295,1429,295,""
296,1430,296,""
297,1431,297,""
298,1432,298,""
299,1433,299,""
300,1434,300,""
301,1435,301,""
302,1436,302,""
303,1437,303,""
304,1438,304,""
305,1439,305,""
306,1440,306,""
307,1441,307,""
308,1442,308,""
309,1443,309,""
310,1444,310,""
311,1445,311,""
312,1446,312,""
313,1447,313,""
314,1448,314,""
315,1449,315,""
316,1450,316,""
317,1451,317,""
318,1452,318,""
319,1453,319,""
320,1454,320,""
321,1455,321,""
322,1456,322,""
323,1457,323,""
324,1458,324,""
325,1459,325,""
326,1460,326,""
327,1461,327,""
328,1462,328,""
329,1463,329,""
330,1464,330,""
331,1465,331,""
332,1466,332,""
333,1467,333,""
334,1468,334,""
335,1469,335,""
336,1470,336,""
337,1471,337,""
338,1472,338,""
339,1473,339,""
340,1474,340,""
341,1475,341,""
342,1476,342,""
343,1477,343,""
344,1478,344,""
345,1479,345,""
346,1480,346,""
347,1481,347,""
348,1482,348,""
349,1483,349,""
350,1484,350,""
351,1485,351,""
352,1486,352,""
353,1487,353,""
354,1488,354,""
355,1489,355,"R.I.P."
356,1496,356,""
357,1497,357,""
358,1498,358,""
359,1499,359,""
360,1500,360,""
361,1501,361,""
362,1502,362,""
363,1503,363,""
364,1504,364,""
365,1505,365,""
