row,name,s_name,ofs,type,typename
0,field0_off0,0,0,0,void
1,modelindex,41561,0,2,float
2,absmin,41583,1,3,vector
3,absmin_x,41597,1,2,float
4,absmin_y,41615,2,2,float
5,absmin_z,41633,3,2,float
6,absmax,41651,4,3,vector
7,absmax_x,41665,4,2,float
8,absmax_y,41683,5,2,float
9,absmax_z,41701,6,2,float
10,ltime,41719,7,2,float
11,movetype,41731,8,2,float
12,solid,41749,9,2,float
13,origin,41761,10,3,vector
14,origin_x,41775,10,2,float
15,origin_y,41793,11,2,float
16,origin_z,41811,12,2,float
17,oldorigin,41829,13,3,vector
18,oldorigin_x,41849,13,2,float
19,oldorigin_y,41873,14,2,float
20,oldorigin_z,41897,15,2,float
21,velocity,41921,16,3,vector
22,velocity_x,41939,16,2,float
23,velocity_y,41961,17,2,float
24,velocity_z,41983,18,2,float
25,angles,42005,19,3,vector
26,angles_x,42019,19,2,float
27,angles_y,42037,20,2,float
28,angles_z,42055,21,2,float
29,avelocity,42073,22,3,vector
30,avelocity_x,42093,22,2,float
31,avelocity_y,42117,23,2,float
32,avelocity_z,42141,24,2,float
33,punchangle,42165,25,3,vector
34,punchangle_x,42187,25,2,float
35,punchangle_y,42213,26,2,float
36,punchangle_z,42239,27,2,float
37,classname,42265,28,1,string
38,model,42285,29,1,string
39,frame,42297,30,2,float
40,skin,42309,31,2,float
41,effects,42319,32,2,float
42,mins,42335,33,3,vector
43,mins_x,42345,33,2,float
44,mins_y,42359,34,2,float
45,mins_z,42373,35,2,float
46,maxs,42387,36,3,vector
47,maxs_x,42397,36,2,float
48,maxs_y,42411,37,2,float
49,maxs_z,42425,38,2,float
50,size,42439,39,3,vector
51,size_x,42449,39,2,float
52,size_y,42463,40,2,float
53,size_z,42477,41,2,float
54,touch,42491,42,6,void()
55,use,42503,43,6,void()
56,think,42511,44,6,void()
57,blocked,42523,45,6,void()
58,nextthink,42539,46,2,float
59,groundentity,42559,47,4,entity
60,health,42585,48,2,float
61,frags,42599,49,2,float
62,weapon,42611,50,2,float
63,weaponmodel,42625,51,1,string
64,weaponframe,42649,52,2,float
65,currentammo,42673,53,2,float
66,ammo_shells,42697,54,2,float
67,ammo_nails,42721,55,2,float
68,ammo_rockets,42743,56,2,float
69,ammo_cells,42769,57,2,float
70,items,42791,58,2,float
71,takedamage,42803,59,2,float
72,chain,42825,60,4,entity
73,deadflag,42837,61,2,float
74,view_ofs,42855,62,3,vector
75,view_ofs_x,42873,62,2,float
76,view_ofs_y,42895,63,2,float
77,view_ofs_z,42917,64,2,float
78,button0,42939,65,2,float
79,button1,42955,66,2,float
80,button2,42971,67,2,float
81,impulse,42987,68,2,float
82,fixangle,43003,69,2,float
83,v_angle,43021,70,3,vector
84,v_angle_x,43037,70,2,float
85,v_angle_y,43057,71,2,float
86,v_angle_z,43077,72,2,float
87,idealpitch,43097,73,2,float
88,netname,43119,74,1,string
89,enemy,43135,75,4,entity
90,flags,43147,76,2,float
91,colormap,43159,77,2,float
92,team,43177,78,2,float
93,max_health,43187,79,2,float
94,teleport_time,43209,80,2,float
95,armortype,43237,81,2,float
96,armorvalue,43257,82,2,float
97,waterlevel,43279,83,2,float
98,watertype,43301,84,2,float
99,ideal_yaw,43321,85,2,float
100,yaw_speed,43341,86,2,float
101,aiment,43361,87,4,entity
102,goalentity,43375,88,4,entity
103,spawnflags,43397,89,2,float
104,target,43419,90,1,string
105,targetname,43433,91,1,string
106,dmg_take,43455,92,2,float
107,dmg_save,43473,93,2,float
108,dmg_inflictor,43491,94,4,entity
109,owner,43519,95,4,entity
110,movedir,43531,96,3,vector
111,movedir_x,43547,96,2,float
112,movedir_y,43567,97,2,float
113,movedir_z,43587,98,2,float
114,message,43607,99,1,string
115,sounds,43623,100,2,float
116,noise,43637,101,1,string
117,noise1,43649,102,1,string
118,noise2,43663,103,1,string
119,noise3,43677,104,1,string
120,wad,45488,105,1,string
121,map,45496,106,1,string
122,worldtype,45504,107,2,float
123,killtarget,45524,108,1,string
124,light_lev,45546,109,2,float
125,style,45566,110,2,float
126,th_stand,45578,111,6,void()
127,th_walk,45596,112,6,void()
128,th_run,45612,113,6,void()
129,th_missile,45626,114,6,void()
130,th_melee,45648,115,6,void()
131,th_pain,45666,116,6,void()
132,th_die,45682,117,6,void()
133,oldenemy,45696,118,4,entity
134,speed,45714,119,2,float
135,lefty,45726,120,2,float
136,search_time,45738,121,2,float
137,attack_state,45762,122,2,float
138,walkframe,45831,123,2,float
139,attack_finished,45851,124,2,float
140,pain_finished,45883,125,2,float
141,invincible_finished,45911,126,2,float
142,invisible_finished,45951,127,2,float
143,super_damage_finished,45989,128,2,float
144,radsuit_finished,46033,129,2,float
145,invincible_time,46067,130,2,float
146,invincible_sound,46099,131,2,float
147,invisible_time,46133,132,2,float
148,invisible_sound,46163,133,2,float
149,super_time,46195,134,2,float
150,super_sound,46217,135,2,float
151,rad_time,46241,136,2,float
152,fly_sound,46259,137,2,float
153,axhitme,46279,138,2,float
154,show_hostile,46295,139,2,float
155,jump_flag,46321,140,2,float
156,swim_flag,46341,141,2,float
157,air_finished,46361,142,2,float
158,bubble_count,46387,143,2,float
159,deathtype,46413,144,1,string
160,mdl,46433,145,1,string
161,mangle,46441,146,3,vector
162,mangle_x,46455,146,2,float
163,mangle_y,46473,147,2,float
164,mangle_z,46491,148,2,float
165,t_length,46509,149,2,float
166,t_width,46527,150,2,float
167,dest,46543,151,3,vector
168,dest_x,46553,151,2,float
169,dest_y,46567,152,2,float
170,dest_z,46581,153,2,float
171,dest1,46595,154,3,vector
172,dest1_x,46607,154,2,float
173,dest1_y,46623,155,2,float
174,dest1_z,46639,156,2,float
175,dest2,46655,157,3,vector
176,dest2_x,46667,157,2,float
177,dest2_y,46683,158,2,float
178,dest2_z,46699,159,2,float
179,wait,46715,160,2,float
180,delay,46725,161,2,float
181,trigger_field,46737,162,4,entity
182,noise4,46765,163,1,string
183,pausetime,46779,164,2,float
184,movetarget,46799,165,4,entity
185,aflag,46821,166,2,float
186,dmg,46833,167,2,float
187,cnt,46841,168,2,float
188,think1,46849,169,6,void()
189,finaldest,46863,170,3,vector
190,finaldest_x,46883,170,2,float
191,finaldest_y,46907,171,2,float
192,finaldest_z,46931,172,2,float
193,finalangle,46955,173,3,vector
194,finalangle_x,46977,173,2,float
195,finalangle_y,47003,174,2,float
196,finalangle_z,47029,175,2,float
197,count,47055,176,2,float
198,lip,47067,177,2,float
199,state,47075,178,2,float
200,pos1,47087,179,3,vector
201,pos1_x,47097,179,2,float
202,pos1_y,47111,180,2,float
203,pos1_z,47125,181,2,float
204,pos2,47139,182,3,vector
205,pos2_x,47149,182,2,float
206,pos2_y,47163,183,2,float
207,pos2_z,47177,184,2,float
208,height,47191,185,2,float
209,waitmin,47205,186,2,float
210,waitmax,47221,187,2,float
211,distance,47237,188,2,float
212,volume,47255,189,2,float
213,healamount,51159,190,2,float
214,healtype,51181,191,2,float
215,hit_z,54826,192,2,float
216,dmgtime,58169,193,2,float
217,inpain,74984,194,2,float
