row,offset,id,string
0,0,0,""
1,1,1,"qc/defs.qc"
2,12,2,"makevectors"
3,24,3,"setorigin"
4,34,4,"setmodel"
5,43,5,"setsize"
6,51,6,"break"
7,57,7,"random"
8,64,8,"sound"
9,70,9,"normalize"
10,80,10,"error"
11,86,11,"objerror"
12,95,12,"vlen"
13,100,13,"vectoyaw"
14,109,14,"spawn"
15,115,15,"remove"
16,122,16,"traceline"
17,132,17,"checkclient"
18,144,18,"find"
19,149,19,"precache_sound"
20,164,20,"precache_model"
21,179,21,"stuffcmd"
22,188,22,"findradius"
23,199,23,"bprint"
24,206,24,"sprint"
25,213,25,"dprint"
26,220,26,"ftos"
27,225,27,"vtos"
28,230,28,"coredump"
29,239,29,"traceon"
30,247,30,"traceoff"
31,256,31,"eprint"
32,263,32,"walkmove"
33,272,33,"droptofloor"
34,284,34,"lightstyle"
35,295,35,"rint"
36,300,36,"floor"
37,306,37,"ceil"
38,311,38,"checkbottom"
39,323,39,"pointcontents"
40,337,40,"fabs"
41,342,41,"aim"
42,346,42,"cvar"
43,351,43,"localcmd"
44,360,44,"nextent"
45,368,45,"particle"
46,377,46,"ChangeYaw"
47,387,47,"vectoangles"
48,399,48,"WriteByte"
49,409,49,"WriteChar"
50,419,50,"WriteShort"
51,430,51,"WriteLong"
52,440,52,"WriteCoord"
53,451,53,"WriteAngle"
54,462,54,"WriteString"
55,474,55,"WriteEntity"
56,486,56,"movetogoal"
57,497,57,"precache_file"
58,511,58,"makestatic"
59,522,59,"changelevel"
60,534,60,"cvar_set"
61,543,61,"centerprint"
62,555,62,"ambientsound"
63,568,63,"precache_model2"
64,584,64,"precache_sound2"
65,600,65,"precache_file2"
66,615,66,"setspawnparms"
67,629,67,"qc/subs.qc"
68,640,68,"SUB_Null"
69,649,69,"SUB_Remove"
70,660,70,"SetMovedir"
71,671,71,""
72,672,72,"InitTrigger"
73,684,73,"SUB_CalcMoveEnt"
74,700,74,"No speed is defined!"
75,721,75,"SUB_CalcMove"
76,734,76,"SUB_CalcMoveDone"
77,751,77,"SUB_CalcAngleMoveEnt"
78,772,78,"SUB_CalcAngleMove"
79,790,79,"SUB_CalcAngleMoveDone"
80,812,80,"DelayThink"
81,823,81,"DelayedUse"
82,834,82,"player"
83,841,83,"misc/talk.wav"
84,855,84,"SUB_UseTargets"
85,870,85,"SUB_AttackFinished"
86,889,86,"SUB_CheckRefire"
87,905,87,"qc/fight.qc"
88,917,88,"knight_attack"
89,931,89,"monster_knight"
90,946,90,"CheckAttack"
91,958,91,"ai_face"
92,966,92,"ai_charge"
93,976,93,"ai_charge_side"
94,991,94,"ai_melee"
95,1000,95,"ai_melee_side"
96,1014,96,"SoldierCheckAttack"
97,1033,97,"shambler check attack\n"
98,1056,98,"ShamCheckAttack"
99,1072,99,"OgreCheckAttack"
100,1088,100,"qc/ai.qc"
101,1097,101,"anglemod"
102,1106,102,"monster_movetarget: no targetname"
103,1140,103,"movetarget_f"
104,1153,104,"path_corner"
105,1165,105,"monster_ogre"
106,1178,106,"ogre/ogdrag.wav"
107,1194,107,"t_movetarget"
108,1207,108,"range"
109,1213,109,"visible"
110,1221,110,"infront"
111,1229,111,"HuntTarget"
112,1240,112,"ogre/ogwake.wav"
113,1256,113,"knight/ksight.wav"
114,1274,114,"monster_shambler"
115,1291,115,"shambler/ssight.wav"
116,1311,116,"monster_demon1"
117,1326,117,"demon/sight2.wav"
118,1343,118,"monster_wizard"
119,1358,119,"wizard/wsight.wav"
120,1376,120,"monster_zombie"
121,1391,121,"zombie/z_idle.wav"
122,1409,122,"monster_dog"
123,1421,123,"dog/dsight.wav"
124,1436,124,"monster_hell_knight"
125,1456,125,"hknight/sight1.wav"
126,1475,126,"monster_tarbaby"
127,1491,127,"blob/sight1.wav"
128,1507,128,"monster_vomit"
129,1521,129,"vomitus/v_sight1.wav"
130,1542,130,"monster_enforcer"
131,1559,131,"enforcer/sight1.wav"
132,1579,132,"enforcer/sight2.wav"
133,1599,133,"enforcer/sight3.wav"
134,1619,134,"enforcer/sight4.wav"
135,1639,135,"monster_army"
136,1652,136,"soldier/sight1.wav"
137,1671,137,"monster_shalrath"
138,1688,138,"shalrath/sight.wav"
139,1707,139,"SightSound"
140,1718,140,"FoundTarget"
141,1730,141,"FindTarget"
142,1741,142,"ai_forward"
143,1752,143,"ai_back"
144,1760,144,"ai_pain"
145,1768,145,"ai_painforward"
146,1783,146,"monster_dragon"
147,1798,147,"chess_pawn"
148,1809,148,"misc/r_tele4.wav"
149,1826,149,"ai_walk"
150,1834,150,"ai_stand"
151,1843,151,"ai_turn"
152,1851,152,"ChooseTurn"
153,1862,153,"FacingIdeal"
154,1874,154,"CheckAnyAttack"
155,1889,155,"ai_run_melee"
156,1902,156,"ai_run_missile"
157,1917,157,"ai_run_slide"
158,1930,158,"ai_run"
159,1937,159,"qc/combat.qc"
160,1950,160,"CanDamage"
161,1960,161,"Killed"
162,1967,162,"items/protect3.wav"
163,1986,163,"T_Damage"
164,1995,164,"T_RadiusDamage"
165,2010,165,"T_BeamDamage"
166,2023,166,"qc/items.qc"
167,2035,167,"items/itembk2.wav"
168,2053,168,"SUB_regen"
169,2063,169,"noclass spawned at"
170,2082,170,"\n"
171,2084,171,"noclass"
172,2092,172,"Bonus item fell out of level at "
173,2125,173,"PlaceItem"
174,2135,174,"StartItem"
175,2145,175,"T_Heal"
176,2152,176,"maps/b_bh10.bsp"
