row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,44873,0,2,float
2,absmin,44895,1,3,vector
3,absmin_x,44909,1,2,float
4,absmin_y,44927,2,2,float
5,absmin_z,44945,3,2,float
6,absmax,44963,4,3,vector
7,absmax_x,44977,4,2,float
8,absmax_y,44995,5,2,float
9,absmax_z,45013,6,2,float
10,ltime,45031,7,2,float
11,movetype,45043,8,2,float
12,solid,45061,9,2,float
13,origin,45073,10,3,vector
14,origin_x,45087,10,2,float
15,origin_y,45105,11,2,float
16,origin_z,45123,12,2,float
17,oldorigin,45141,13,3,vector
18,oldorigin_x,45161,13,2,float
19,oldorigin_y,45185,14,2,float
20,oldorigin_z,45209,15,2,float
21,velocity,45233,16,3,vector
22,velocity_x,45251,16,2,float
23,velocity_y,45273,17,2,float
24,velocity_z,45295,18,2,float
25,angles,45317,19,3,vector
26,angles_x,45331,19,2,float
27,angles_y,45349,20,2,float
28,angles_z,45367,21,2,float
29,avelocity,45385,22,3,vector
30,avelocity_x,45405,22,2,float
31,avelocity_y,45429,23,2,float
32,avelocity_z,45453,24,2,float
33,punchangle,45477,25,3,vector
34,punchangle_x,45499,25,2,float
35,punchangle_y,45525,26,2,float
36,punchangle_z,45551,27,2,float
37,classname,45577,28,1,string
38,model,45597,29,1,string
39,frame,45609,30,2,float
40,skin,45621,31,2,float
41,effects,45631,32,2,float
42,mins,45647,33,3,vector
43,mins_x,45657,33,2,float
44,mins_y,45671,34,2,float
45,mins_z,45685,35,2,float
46,maxs,45699,36,3,vector
47,maxs_x,45709,36,2,float
48,maxs_y,45723,37,2,float
49,maxs_z,45737,38,2,float
50,size,45751,39,3,vector
51,size_x,45761,39,2,float
52,size_y,45775,40,2,float
53,size_z,45789,41,2,float
54,touch,45803,42,6,void()
55,use,45815,43,6,void()
56,think,45823,44,6,void()
57,blocked,45835,45,6,void()
58,nextthink,45851,46,2,float
59,groundentity,45871,47,4,entity
60,health,45897,48,2,float
61,frags,45911,49,2,float
62,weapon,45923,50,2,float
63,weaponmodel,45937,51,1,string
64,weaponframe,45961,52,2,float
65,currentammo,45985,53,2,float
66,ammo_shells,46009,54,2,float
67,ammo_nails,46033,55,2,float
68,ammo_rockets,46055,56,2,float
69,ammo_cells,46081,57,2,float
70,items,46103,58,2,float
71,takedamage,46115,59,2,float
72,chain,46137,60,4,entity
73,deadflag,46149,61,2,float
74,view_ofs,46167,62,3,vector
75,view_ofs_x,46185,62,2,float
76,view_ofs_y,46207,63,2,float
77,view_ofs_z,46229,64,2,float
78,button0,46251,65,2,float
79,button1,46267,66,2,float
