row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,defs.qc,1,makevectors,9,0,-1,0,1,449,30000000
2,defs.qc,1,setorigin,21,0,-2,0,2,450,13000000
3,defs.qc,1,setmodel,31,0,-3,0,2,451,11000000
4,defs.qc,1,setsize,40,0,-4,0,3,452,13300000
5,defs.qc,1,break,48,0,-6,0,0,453,00000000
6,defs.qc,1,random,54,0,-7,0,0,454,00000000
7,defs.qc,1,sound,61,0,-8,0,5,455,11111000
8,defs.qc,1,normalize,67,0,-9,0,1,456,30000000
9,defs.qc,1,error,77,0,-10,0,1,457,10000000
10,defs.qc,1,objerror,83,0,-11,0,1,458,10000000
11,defs.qc,1,vlen,92,0,-12,0,1,459,30000000
12,defs.qc,1,vectoyaw,97,0,-13,0,1,460,30000000
13,defs.qc,1,spawn,106,0,-14,0,0,461,00000000
14,defs.qc,1,remove,112,0,-15,0,1,462,10000000
15,defs.qc,1,traceline,119,0,-16,0,4,463,33110000
16,defs.qc,1,checkclient,129,0,-17,0,0,464,00000000
17,defs.qc,1,find,141,0,-18,0,3,465,11100000
18,defs.qc,1,precache_sound,146,0,-19,0,1,466,10000000
19,defs.qc,1,precache_model,161,0,-20,0,1,467,10000000
20,defs.qc,1,stuffcmd,176,0,-21,0,2,468,11000000
21,defs.qc,1,findradius,185,0,-22,0,2,469,31000000
22,defs.qc,1,bprint,196,0,-23,0,1,470,10000000
23,defs.qc,1,sprint,203,0,-24,0,2,471,11000000
24,defs.qc,1,dprint,210,0,-25,0,1,472,10000000
25,defs.qc,1,ftos,217,0,-26,0,1,473,10000000
26,defs.qc,1,vtos,222,0,-27,0,1,474,30000000
27,defs.qc,1,coredump,227,0,-28,0,0,475,00000000
28,defs.qc,1,traceon,236,0,-29,0,0,476,00000000
29,defs.qc,1,traceoff,244,0,-30,0,0,477,00000000
30,defs.qc,1,eprint,253,0,-31,0,1,478,10000000
31,defs.qc,1,walkmove,260,0,-32,0,2,479,11000000
32,defs.qc,1,droptofloor,269,0,-34,0,2,480,11000000
33,defs.qc,1,lightstyle,281,0,-35,0,2,481,11000000
34,defs.qc,1,rint,292,0,-36,0,1,482,10000000
35,defs.qc,1,floor,297,0,-37,0,1,483,10000000
36,defs.qc,1,ceil,303,0,-38,0,1,484,10000000
37,defs.qc,1,checkbottom,308,0,-40,0,1,485,10000000
38,defs.qc,1,pointcontents,320,0,-41,0,1,486,30000000
39,defs.qc,1,fabs,334,0,-43,0,1,487,10000000
40,defs.qc,1,aim,339,0,-44,0,2,488,11000000
41,defs.qc,1,cvar,343,0,-45,0,1,489,10000000
42,defs.qc,1,localcmd,348,0,-46,0,1,490,10000000
43,defs.qc,1,nextent,357,0,-47,0,1,491,10000000
44,defs.qc,1,particle,365,0,-48,0,4,492,33110000
45,defs.qc,1,ChangeYaw,374,0,-49,0,0,493,00000000
46,defs.qc,1,vectoangles,384,0,-51,0,1,494,30000000
47,defs.qc,1,WriteByte,396,0,-52,0,2,495,11000000
48,defs.qc,1,WriteChar,406,0,-53,0,2,496,11000000
49,defs.qc,1,WriteShort,416,0,-54,0,2,497,11000000
50,defs.qc,1,WriteLong,427,0,-55,0,2,498,11000000
51,defs.qc,1,WriteCoord,437,0,-56,0,2,499,11000000
52,defs.qc,1,WriteAngle,448,0,-57,0,2,500,11000000
53,defs.qc,1,WriteString,459,0,-58,0,2,501,11000000
54,defs.qc,1,WriteEntity,471,0,-59,0,2,502,11000000
55,defs.qc,1,movetogoal,483,0,-67,0,1,503,10000000
56,defs.qc,1,precache_file,494,0,-68,0,1,504,10000000
57,defs.qc,1,makestatic,508,0,-69,0,1,505,10000000
58,defs.qc,1,changelevel,519,0,-70,0,1,506,10000000
59,defs.qc,1,cvar_set,531,0,-72,0,2,507,11000000
60,defs.qc,1,centerprint,540,0,-73,0,2,508,11000000
61,defs.qc,1,ambientsound,552,0,-74,0,4,509,31110000
62,defs.qc,1,precache_model2,565,0,-75,0,1,510,10000000
63,defs.qc,1,precache_sound2,581,0,-76,0,1,511,10000000
64,defs.qc,1,precache_file2,597,0,-77,0,1,512,10000000
65,defs.qc,1,setspawnparms,612,0,-78,0,1,513,10000000
66,subs.qc,634,SUB_Null,642,0,1,0,0,602,00000000
67,subs.qc,634,SUB_Remove,651,0,2,0,0,602,00000000
68,subs.qc,634,SetMovedir,662,0,5,0,0,603,00000000
69,subs.qc,634,InitTrigger,674,0,25,0,0,642,00000000
70,subs.qc,634,SUB_CalcMoveEnt,686,0,42,7,4,653,13110000
71,subs.qc,634,SUB_CalcMove,723,0,50,10,3,660,31100000
72,subs.qc,634,SUB_CalcMoveDone,736,0,96,0,0,713,00000000
73,subs.qc,634,SUB_CalcAngleMoveEnt,753,0,109,7,4,724,13110000
74,subs.qc,634,SUB_CalcAngleMove,774,0,117,10,3,731,31100000
75,subs.qc,634,SUB_CalcAngleMoveDone,792,0,144,0,0,764,00000000
76,subs.qc,634,DelayThink,814,0,156,0,0,777,00000000
77,subs.qc,634,SUB_UseTargets,857,0,162,4,0,778,00000000
78,subs.qc,634,SUB_AttackFinished,872,0,249,0,1,817,10000000
79,subs.qc,634,SUB_CheckRefire,891,0,257,0,1,825,10000000
80,fight.qc,907,knight_attack,916,0,275,1,0,850,00000000
81,fight.qc,907,CheckAttack,945,0,293,8,0,877,00000000
82,fight.qc,907,ai_face,957,0,372,0,0,931,00000000
83,fight.qc,907,ai_charge,965,0,382,4,1,945,10000000
84,fight.qc,907,ai_charge_side,975,0,410,4,0,982,00000000
85,fight.qc,907,ai_melee,990,0,436,4,0,1019,00000000
86,fight.qc,907,ai_melee_side,999,0,464,4,0,1042,00000000
87,fight.qc,907,SoldierCheckAttack,1013,0,500,8,0,1066,00000000
88,fight.qc,907,ShamCheckAttack,1055,0,560,8,0,1110,00000000
89,fight.qc,907,OgreCheckAttack,1071,0,589,8,0,1129,00000000
90,ai.qc,1087,anglemod,1093,0,653,0,1,1180,10000000
91,ai.qc,1087,movetarget_f,1136,0,665,0,0,1186,00000000
92,ai.qc,1087,path_corner,1149,0,679,0,0,1198,00000000
93,ai.qc,1087,t_movetarget,1190,0,681,1,0,1198,00000000
94,ai.qc,1087,range,1203,0,727,8,1,1226,10000000
95,ai.qc,1087,visible,1209,0,750,7,1,1261,10000000
96,ai.qc,1087,infront,1217,0,771,5,1,1288,10000000
97,ai.qc,1087,HuntTarget,1225,0,787,0,0,1308,00000000
98,ai.qc,1087,SightSound,1703,0,807,1,0,1326,00000000
99,ai.qc,1087,FoundTarget,1714,0,969,0,0,1385,00000000
100,ai.qc,1087,FindTarget,1726,0,981,2,0,1391,00000000
101,ai.qc,1087,ai_forward,1737,0,1062,0,1,1430,10000000
102,ai.qc,1087,ai_back,1748,0,1067,0,1,1433,10000000
103,ai.qc,1087,ai_pain,1756,0,1073,0,1,1438,10000000
104,ai.qc,1087,ai_painforward,1764,0,1076,0,1,1440,10000000
105,ai.qc,1087,ai_walk,1822,0,1081,15,1,1443,10000000
106,ai.qc,1087,ai_stand,1830,0,1198,0,0,1540,00000000
107,ai.qc,1087,ai_turn,1839,0,1210,0,0,1546,00000000
108,ai.qc,1087,ChooseTurn,1847,0,1215,9,1,1546,30000000
109,ai.qc,1087,FacingIdeal,1858,0,1238,1,0,1568,00000000
110,ai.qc,1087,CheckAnyAttack,1870,0,1251,0,0,1580,00000000
111,ai.qc,1087,ai_run_melee,1885,0,1287,0,0,1594,00000000
112,ai.qc,1087,ai_run_missile,1898,0,1297,0,0,1598,00000000
113,ai.qc,1087,ai_run_slide,1913,0,1313,1,0,1605,00000000
114,ai.qc,1087,ai_run,1926,0,1338,13,1,1618,10000000
115,combat.qc,1933,CanDamage,1943,0,1463,0,2,1720,11000000
116,combat.qc,1933,Killed,1953,0,1539,3,2,1802,11000000
117,combat.qc,1933,T_Damage,1979,0,1568,16,4,1816,11110000
118,combat.qc,1933,T_RadiusDamage,1988,0,1761,9,4,1995,11110000
119,combat.qc,1933,T_BeamDamage,2003,0,1825,4,2,2052,11000000
120,items.qc,2016,SUB_regen,2043,0,1875,0,0,2082,00000000
121,items.qc,2016,noclass,2074,0,1891,0,0,2090,00000000
122,items.qc,2016,PlaceItem,2115,0,1903,1,0,2096,00000000
123,items.qc,2016,StartItem,2125,0,1936,0,0,2116,00000000
124,items.qc,2016,T_Heal,2135,0,1942,0,3,2119,11100000
125,items.qc,2016,item_health,2245,0,1976,0,0,2150,00000000
126,items.qc,2016,health_touch,2283,0,2031,2,0,2176,00000000
127,items.qc,2016,item_megahealth_rot,2296,0,2112,0,0,2208,00000000
128,items.qc,2016,armor_touch,2386,0,2140,3,0,2227,00000000
129,items.qc,2016,item_armor1,2414,0,2212,0,0,2271,00000000
130,items.qc,2016,item_armor2,2426,0,2227,0,0,2281,00000000
131,items.qc,2016,item_armorInv,2438,0,2242,0,0,2284,00000000
132,items.qc,2016,bound_other_ammo,2452,0,2257,0,0,2287,00000000
133,items.qc,2016,RankForWeapon,2469,0,2278,0,1,2300,10000000
134,items.qc,2016,Deathmatch_Weapon,2483,0,2298,4,2,2309,11000000
135,items.qc,2016,weapon_touch,2680,0,2310,6,0,2318,00000000
