row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,34233,0,2,float
2,absmin,34255,1,3,vector
3,absmin_x,34269,1,2,float
4,absmin_y,34287,2,2,float
5,absmin_z,34305,3,2,float
6,absmax,34323,4,3,vector
7,absmax_x,34337,4,2,float
8,absmax_y,34355,5,2,float
9,absmax_z,34373,6,2,float
10,ltime,34391,7,2,float
11,movetype,34403,8,2,float
12,solid,34421,9,2,float
13,origin,34433,10,3,vector
14,origin_x,34447,10,2,float
15,origin_y,34465,11,2,float
16,origin_z,34483,12,2,float
17,oldorigin,34501,13,3,vector
18,oldorigin_x,34521,13,2,float
19,oldorigin_y,34545,14,2,float
20,oldorigin_z,34569,15,2,float
21,velocity,34593,16,3,vector
22,velocity_x,34611,16,2,float
23,velocity_y,34633,17,2,float
24,velocity_z,34655,18,2,float
25,angles,34677,19,3,vector
26,angles_x,34691,19,2,float
27,angles_y,34709,20,2,float
28,angles_z,34727,21,2,float
29,avelocity,34745,22,3,vector
30,avelocity_x,34765,22,2,float
31,avelocity_y,34789,23,2,float
32,avelocity_z,34813,24,2,float
33,punchangle,34837,25,3,vector
34,punchangle_x,34859,25,2,float
35,punchangle_y,34885,26,2,float
36,punchangle_z,34911,27,2,float
37,classname,34937,28,1,string
38,model,34957,29,1,string
39,frame,34969,30,2,float
40,skin,34981,31,2,float
41,effects,34991,32,2,float
42,mins,35007,33,3,vector
43,mins_x,35017,33,2,float
44,mins_y,35031,34,2,float
45,mins_z,35045,35,2,float
46,maxs,35059,36,3,vector
47,maxs_x,35069,36,2,float
48,maxs_y,35083,37,2,float
49,maxs_z,35097,38,2,float
50,size,35111,39,3,vector
51,size_x,35121,39,2,float
52,size_y,35135,40,2,float
53,size_z,35149,41,2,float
54,touch,35163,42,6,void()
55,use,35175,43,6,void()
56,think,35183,44,6,void()
57,blocked,35195,45,6,void()
58,nextthink,35211,46,2,float
59,groundentity,35231,47,4,entity
60,health,35257,48,2,float
61,frags,35271,49,2,float
62,weapon,35283,50,2,float
63,weaponmodel,35297,51,1,string
64,weaponframe,35321,52,2,float
65,currentammo,35345,53,2,float
66,ammo_shells,35369,54,2,float
67,ammo_nails,35393,55,2,float
68,ammo_rockets,35415,56,2,float
69,ammo_cells,35441,57,2,float
70,items,35463,58,2,float
71,takedamage,35475,59,2,float
72,chain,35497,60,4,entity
73,deadflag,35509,61,2,float
74,view_ofs,35527,62,3,vector
75,view_ofs_x,35545,62,2,float
76,view_ofs_y,35567,63,2,float
77,view_ofs_z,35589,64,2,float
78,button0,35611,65,2,float
79,button1,35627,66,2,float
80,button2,35643,67,2,float
81,impulse,35659,68,2,float
82,fixangle,35675,69,2,float
83,v_angle,35693,70,3,vector
84,v_angle_x,35709,70,2,float
85,v_angle_y,35729,71,2,float
86,v_angle_z,35749,72,2,float
87,idealpitch,35769,73,2,float
88,netname,35791,74,1,string
89,enemy,35807,75,4,entity
90,flags,35819,76,2,float
91,colormap,35831,77,2,float
92,team,35849,78,2,float
93,max_health,35859,79,2,float
94,teleport_time,35881,80,2,float
95,armortype,35909,81,2,float
96,armorvalue,35929,82,2,float
97,waterlevel,35951,83,2,float
98,watertype,35973,84,2,float
99,ideal_yaw,35993,85,2,float
100,yaw_speed,36013,86,2,float
101,aiment,36033,87,4,entity
102,goalentity,36047,88,4,entity
103,spawnflags,36069,89,2,float
104,target,36091,90,1,string
105,targetname,36105,91,1,string
106,dmg_take,36127,92,2,float
107,dmg_save,36145,93,2,float
108,dmg_inflictor,36163,94,4,entity
109,owner,36191,95,4,entity
110,movedir,36203,96,3,vector
111,movedir_x,36219,96,2,float
112,movedir_y,36239,97,2,float
113,movedir_z,36259,98,2,float
114,message,36279,99,1,string
115,sounds,36295,100,2,float
116,noise,36309,101,1,string
117,noise1,36321,102,1,string
118,noise2,36335,103,1,string
119,noise3,36349,104,1,string
120,ammo_roobar,36423,105,2,float
121,wad,38347,106,1,string
122,map,38355,107,1,string
123,worldtype,38363,108,2,float
124,killtarget,38383,109,1,string
125,light_lev,38405,110,2,float
126,style,38425,111,2,float
127,th_stand,38437,112,6,void()
128,th_walk,38455,113,6,void()
129,th_run,38471,114,6,void()
130,th_missile,38485,115,6,void()
131,th_melee,38507,116,6,void()
132,th_pain,38525,117,6,void()
133,th_die,38541,118,6,void()
134,oldenemy,38555,119,4,entity
135,speed,38573,120,2,float
136,lefty,38585,121,2,float
137,search_time,38597,122,2,float
138,attack_state,38621,123,2,float
139,walkframe,38690,124,2,float
140,attack_finished,38710,125,2,float
141,pain_finished,38742,126,2,float
142,invincible_finished,38770,127,2,float
143,invisible_finished,38810,128,2,float
144,super_damage_finished,38848,129,2,float
145,radsuit_finished,38892,130,2,float
146,invincible_time,38926,131,2,float
147,invincible_sound,38958,132,2,float
148,invisible_time,38992,133,2,float
149,invisible_sound,39022,134,2,float
150,super_time,39054,135,2,float
151,super_sound,39076,136,2,float
152,rad_time,39100,137,2,float
153,fly_sound,39118,138,2,float
154,axhitme,39138,139,2,float
155,show_hostile,39154,140,2,float
156,jump_flag,39180,141,2,float
157,swim_flag,39200,142,2,float
158,air_finished,39220,143,2,float
159,bubble_count,39246,144,2,float
160,deathtype,39272,145,1,string
161,mdl,39292,146,1,string
162,mangle,39300,147,3,vector
163,mangle_x,39314,147,2,float
164,mangle_y,39332,148,2,float
165,mangle_z,39350,149,2,float
166,t_length,39368,150,2,float
167,t_width,39386,151,2,float
168,dest,39402,152,3,vector
169,dest_x,39412,152,2,float
170,dest_y,39426,153,2,float
171,dest_z,39440,154,2,float
172,dest1,39454,155,3,vector
173,dest1_x,39466,155,2,float
174,dest1_y,39482,156,2,float
175,dest1_z,39498,157,2,float
176,dest2,39514,158,3,vector
177,dest2_x,39526,158,2,float
178,dest2_y,39542,159,2,float
179,dest2_z,39558,160,2,float
180,wait,39574,161,2,float
181,delay,39584,162,2,float
182,trigger_field,39596,163,4,entity
183,noise4,39624,164,1,string
184,pausetime,39638,165,2,float
185,movetarget,39658,166,4,entity
186,aflag,39680,167,2,float
187,dmg,39692,168,2,float
188,cnt,39700,169,2,float
189,think1,39708,170,6,void()
190,finaldest,39722,171,3,vector
191,finaldest_x,39742,171,2,float
192,finaldest_y,39766,172,2,float
193,finaldest_z,39790,173,2,float
194,finalangle,39814,174,3,vector
195,finalangle_x,39836,174,2,float
196,finalangle_y,39862,175,2,float
197,finalangle_z,39888,176,2,float
198,count,39914,177,2,float
199,lip,39926,178,2,float
200,state,39934,179,2,float
201,pos1,39946,180,3,vector
202,pos1_x,39956,180,2,float
203,pos1_y,39970,181,2,float
204,pos1_z,39984,182,2,float
205,pos2,39998,183,3,vector
206,pos2_x,40008,183,2,float
207,pos2_y,40022,184,2,float
208,pos2_z,40036,185,2,float
209,height,40050,186,2,float
210,waitmin,40064,187,2,float
211,waitmax,40080,188,2,float
212,distance,40096,189,2,float
213,volume,40114,190,2,float
214,veh_tail,41064,191,4,entity
215,veh_body,41082,192,4,entity
216,fwhl,41100,193,4,entity
217,rwhl,41110,194,4,entity
218,hl_l,41120,195,4,entity
219,hl_r,41130,196,4,entity
220,hl_m,41140,197,4,entity
221,gun,41150,198,4,entity
222,veh_dir,41158,199,3,vector
223,veh_dir_x,41174,199,2,float
224,veh_dir_y,41194,200,2,float
225,veh_dir_z,41214,201,2,float
226,steer_angles,41234,202,3,vector
227,steer_angles_x,41260,202,2,float
228,steer_angles_y,41290,203,2,float
229,steer_angles_z,41320,204,2,float
230,old_angles,41350,205,3,vector
231,old_angles_x,41372,205,2,float
232,old_angles_y,41398,206,2,float
233,old_angles_z,41424,207,2,float
234,old_velocity,41450,208,3,vector
235,old_velocity_x,41476,208,2,float
236,old_velocity_y,41506,209,2,float
237,old_velocity_z,41536,210,2,float
238,back_vel,41566,211,3,vector
239,back_vel_x,41584,211,2,float
240,back_vel_y,41606,212,2,float
241,back_vel_z,41628,213,2,float
242,lastmove,41650,214,3,vector
243,lastmove_x,41668,214,2,float
244,lastmove_y,41690,215,2,float
245,lastmove_z,41712,216,2,float
246,num_skins,41734,217,2,float
247,body_roll,41754,218,3,vector
248,body_roll_x,41774,218,2,float
249,body_roll_y,41798,219,2,float
250,body_roll_z,41822,220,2,float
251,body_lean,41846,221,2,float
252,body_roll_vel,41866,222,3,vector
253,body_roll_vel_x,41894,222,2,float
254,body_roll_vel_y,41926,223,2,float
255,body_roll_vel_z,41958,224,2,float
256,use_surface_angle,41990,225,2,float
257,last_speed,42026,226,2,float
258,last_engine,42048,227,2,float
259,last_jump_z,42072,228,2,float
260,slide_ratio,42096,229,2,float
261,slide_donut_vel,42120,230,2,float
262,roll_velocity,42152,231,3,vector
263,roll_velocity_x,42180,231,2,float
264,roll_velocity_y,42212,232,2,float
265,roll_velocity_z,42244,233,2,float
266,last_roll,42276,234,3,vector
267,last_roll_x,42296,234,2,float
