row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,5?????,1,makevectors,9,0,-1,0,1,462,30000000
2,5?????,1,setorigin,21,0,-2,0,2,463,13000000
3,5?????,1,setmodel,31,0,-3,0,2,464,11000000
4,5?????,1,setsize,40,0,-4,0,3,465,13300000
5,5?????,1,break,48,0,-6,0,0,466,00000000
6,5?????,1,random,54,0,-7,0,0,467,00000000
7,5?????,1,sound,61,0,-8,0,5,468,11111000
8,5?????,1,normalize,67,0,-9,0,1,469,30000000
9,5?????,1,error,77,0,-10,0,1,470,10000000
10,5?????,1,objerror,83,0,-11,0,1,471,10000000
11,5?????,1,vlen,92,0,-12,0,1,472,30000000
12,5?????,1,vectoyaw,97,0,-13,0,1,473,30000000
13,5?????,1,spawn,106,0,-14,0,0,474,00000000
14,5?????,1,remove,112,0,-15,0,1,475,10000000
15,5?????,1,traceline,119,0,-16,0,4,476,33110000
16,5?????,1,checkclient,129,0,-17,0,0,477,00000000
17,5?????,1,find,141,0,-18,0,3,478,11100000
18,5?????,1,precache_sound,146,0,-19,0,1,479,10000000
19,5?????,1,precache_model,161,0,-20,0,1,480,10000000
20,5?????,1,stuffcmd,176,0,-21,0,2,481,11000000
21,5?????,1,findradius,185,0,-22,0,2,482,31000000
22,5?????,1,bprint,196,0,-23,0,1,483,10000000
23,5?????,1,sprint,203,0,-24,0,2,484,11000000
24,5?????,1,dprint,210,0,-25,0,1,485,10000000
25,5?????,1,ftos,217,0,-26,0,1,486,10000000
26,5?????,1,vtos,222,0,-27,0,1,487,30000000
27,5?????,1,coredump,227,0,-28,0,0,488,00000000
28,5?????,1,traceon,236,0,-29,0,0,489,00000000
29,5?????,1,traceoff,244,0,-30,0,0,490,00000000
30,5?????,1,eprint,253,0,-31,0,1,491,10000000
31,5?????,1,walkmove,260,0,-32,0,2,492,11000000
32,5?????,1,droptofloor,269,0,-34,0,2,493,11000000
33,5?????,1,lightstyle,281,0,-35,0,2,494,11000000
34,5?????,1,rint,292,0,-36,0,1,495,10000000
35,5?????,1,floor,297,0,-37,0,1,496,10000000
36,5?????,1,ceil,303,0,-38,0,1,497,10000000
37,5?????,1,checkbottom,308,0,-40,0,1,498,10000000
38,5?????,1,pointcontents,320,0,-41,0,1,499,30000000
39,5?????,1,fabs,334,0,-43,0,1,500,10000000
40,5?????,1,aim,339,0,-44,0,2,501,11000000
41,5?????,1,cvar,343,0,-45,0,1,502,10000000
42,5?????,1,localcmd,348,0,-46,0,1,503,10000000
43,5?????,1,nextent,357,0,-47,0,1,504,10000000
44,5?????,1,particle,365,0,-48,0,4,505,33110000
45,5?????,1,ChangeYaw,374,0,-49,0,0,506,00000000
46,5?????,1,vectoangles,384,0,-51,0,1,507,30000000
47,5?????,1,WriteByte,396,0,-52,0,2,508,11000000
48,5?????,1,WriteChar,406,0,-53,0,2,509,11000000
49,5?????,1,WriteShort,416,0,-54,0,2,510,11000000
50,5?????,1,WriteLong,427,0,-55,0,2,511,11000000
51,5?????,1,WriteCoord,437,0,-56,0,2,512,11000000
52,5?????,1,WriteAngle,448,0,-57,0,2,513,11000000
53,5?????,1,WriteString,459,0,-58,0,2,514,11000000
54,5?????,1,WriteEntity,471,0,-59,0,2,515,11000000
55,5?????,1,movetogoal,483,0,-67,0,1,516,10000000
56,5?????,1,precache_file,494,0,-68,0,1,517,10000000
57,5?????,1,makestatic,508,0,-69,0,1,518,10000000
58,5?????,1,changelevel,519,0,-70,0,1,519,10000000
59,5?????,1,cvar_set,531,0,-72,0,2,520,11000000
60,5?????,1,centerprint,540,0,-73,0,2,521,11000000
61,5?????,1,ambientsound,552,0,-74,0,4,522,31110000
62,5?????,1,precache_model2,565,0,-75,0,1,523,10000000
63,5?????,1,precache_sound2,581,0,-76,0,1,524,10000000
64,5?????,1,precache_file2,597,0,-77,0,1,525,10000000
65,5?????,1,setspawnparms,612,0,-78,0,1,526,10000000
66,,?}?????,626,rally_centre,635,0,1,0,0,817,00000000
67,,?}?????,626,rally_right10,648,0,3,0,0,819,00000000
68,,?}?????,626,rally_right20,662,0,5,0,0,821,00000000
69,,?}?????,626,rally_right30,676,0,7,0,0,823,00000000
70,,?}?????,626,rally_left10,690,0,9,0,0,825,00000000
71,,?}?????,626,rally_left20,703,0,11,0,0,827,00000000
72,,?}?????,626,rally_left30,716,0,13,0,0,829,00000000
73,,?}?????,626,steer_centre,729,0,15,0,0,831,00000000
74,,?}?????,626,steer_right10,742,0,19,0,0,834,00000000
75,,?}?????,626,steer_right20,756,0,23,0,0,837,00000000
76,,?}?????,626,steer_right30,770,0,27,0,0,841,00000000
77,,?}?????,626,steer_right40,784,0,31,0,0,845,00000000
78,,?}?????,626,steer_left10,798,0,35,0,0,849,00000000
79,,?}?????,626,steer_left20,811,0,39,0,0,851,00000000
80,,?}?????,626,steer_left30,824,0,43,0,0,853,00000000
81,,?}?????,626,steer_left40,837,0,47,0,0,855,00000000
82,,?}?????,626,angle_diff,850,0,51,0,2,861,11000000
83,,?}?????,626,commentary,882,0,73,0,2,877,11000000
84,,?}?????,626,SpawnPart,893,0,92,14,2,891,33000000
85,,?}?????,626,SetCarDetails,1190,0,121,0,0,933,00000000
86,,?}?????,626,CallClientPrefs,1252,0,345,2,1,1063,10000000
87,,?}?????,626,FindFirstMarker,1281,0,412,1,0,1103,00000000
88,,?}?????,626,angle_think,1574,0,427,0,0,1109,00000000
89,,?}?????,626,fade_to_normal,1602,0,502,1,0,1132,00000000
90,,?}?????,626,CreateVehicleEntities,1774,0,542,14,0,1157,00000000
91,,?}?????,626,CalcVehPosition,1796,0,878,18,4,1386,31110000
92,,?}?????,626,SetVehPosition,1812,0,907,8,5,1442,11111000
93,,?}?????,626,MoveToAngle,1827,0,918,4,3,1454,11100000
94,,?}?????,626,BodyRoll,1839,0,958,0,0,1480,00000000
95,,?}?????,626,CheckCultCars,1935,0,979,1,0,1498,00000000
96,,?}?????,626,SpawnDeathWheel,1964,0,1012,3,2,1510,11000000
97,,?}?????,626,DeathThink,1980,0,1078,3,0,1625,00000000
98,,?}?????,626,DestroyVehicle,2038,0,1233,1,0,1756,00000000
99,,?}?????,626,GetAveragePrevRoll,2053,0,1314,1,0,1822,00000000
100,,?}?????,626,CarAirborne,2090,0,1330,5,0,1830,00000000
101,,?}?????,626,dirt1,2102,0,1507,0,0,1986,00000000
102,,?}?????,626,dirt2,2108,0,1512,0,0,1990,00000000
103,,?}?????,626,dirt3,2114,0,1517,0,0,1994,00000000
104,,?}?????,626,dirt5,2120,0,1530,0,0,2003,00000000
105,,?}?????,626,dirt6,2126,0,1543,0,0,2012,00000000
106,,?}?????,626,dirt7,2132,0,1545,0,0,2013,00000000
107,,?}?????,626,dirt8,2138,0,1547,0,0,2014,00000000
108,,?}?????,626,dirt9,2144,0,1549,0,0,2014,00000000
109,,?}?????,626,dirt10,2150,0,1551,0,0,2015,00000000
110,,?}?????,626,dirt11,2157,0,1553,0,0,2016,00000000
111,,?}?????,626,dirt12,2164,0,1555,0,0,2017,00000000
112,,?}?????,626,dirt13,2171,0,1557,0,0,2018,00000000
113,,?}?????,626,dirt14,2178,0,1559,0,0,2019,00000000
114,,?}?????,626,SpawnDirt,2201,0,1563,17,4,2020,13330000
115,,?}?????,626,MoveTail,2531,0,1592,46,0,2053,00000000
116,,?}?????,626,MoveWheels,2540,0,2556,5,0,2940,00000000
117,,?}?????,626,ReduceVelocity,2551,0,2770,3,2,3113,11000000
118,,?}?????,626,SetPrevSurfAngle,2566,0,2783,0,1,3131,10000000
119,,?}?????,626,SetSurfaceAngle,2594,0,2800,24,0,3143,00000000
120,,?}?????,626,checkHealth,2610,0,3121,0,0,3395,00000000
121,,?}?????,626,CarCollision,2741,0,3126,9,2,3398,11000000
122,,?}?????,626,CarGib,2770,0,3221,8,2,3476,33000000
123,,?}?????,626,CarGibs,2777,0,3264,11,3,3510,33100000
