row,offset,id,string
0,0,0,""
1,1,1,"5?????"
2,9,2,"makevectors"
3,21,3,"setorigin"
4,31,4,"setmodel"
5,40,5,"setsize"
6,48,6,"break"
7,54,7,"random"
8,61,8,"sound"
9,67,9,"normalize"
10,77,10,"error"
11,83,11,"objerror"
12,92,12,"vlen"
13,97,13,"vectoyaw"
14,106,14,"spawn"
15,112,15,"remove"
16,119,16,"traceline"
17,129,17,"checkclient"
18,141,18,"find"
19,146,19,"precache_sound"
20,161,20,"precache_model"
21,176,21,"stuffcmd"
22,185,22,"findradius"
23,196,23,"bprint"
24,203,24,"sprint"
25,210,25,"dprint"
26,217,26,"ftos"
27,222,27,"vtos"
28,227,28,"coredump"
29,236,29,"traceon"
30,244,30,"traceoff"
31,253,31,"eprint"
32,260,32,"walkmove"
33,269,33,"droptofloor"
34,281,34,"lightstyle"
35,292,35,"rint"
36,297,36,"floor"
37,303,37,"ceil"
38,308,38,"checkbottom"
39,320,39,"pointcontents"
40,334,40,"fabs"
41,339,41,"aim"
42,343,42,"cvar"
43,348,43,"localcmd"
44,357,44,"nextent"
45,365,45,"particle"
46,374,46,"ChangeYaw"
47,384,47,"vectoangles"
48,396,48,"WriteByte"
49,406,49,"WriteChar"
50,416,50,"WriteShort"
51,427,51,"WriteLong"
52,437,52,"WriteCoord"
53,448,53,"WriteAngle"
54,459,54,"WriteString"
55,471,55,"WriteEntity"
56,483,56,"movetogoal"
57,494,57,"precache_file"
58,508,58,"makestatic"
59,519,59,"changelevel"
60,531,60,"cvar_set"
61,540,61,"centerprint"
62,552,62,"ambientsound"
63,565,63,"precache_model2"
64,581,64,"precache_sound2"
65,597,65,"precache_file2"
66,612,66,"setspawnparms"
67,626,67,",?}?????"
68,635,68,"rally_centre"
69,648,69,"rally_right10"
70,662,70,"rally_right20"
71,676,71,"rally_right30"
72,690,72,"rally_left10"
73,703,73,"rally_left20"
74,716,74,"rally_left30"
75,729,75,"steer_centre"
76,742,76,"steer_right10"
77,756,77,"steer_right20"
78,770,78,"steer_right30"
79,784,79,"steer_right40"
80,798,80,"steer_left10"
81,811,81,"steer_left20"
82,824,82,"steer_left30"
83,837,83,"steer_left40"
84,850,84,"angle_diff"
85,861,85,"player"
86,868,86,"play rally/"
87,880,87,"\n"
88,882,88,"commentary"
89,893,89,"SpawnPart"
90,903,90,"deathmatch"
91,914,91,"models/sumacar.mdl"
92,933,92,"models/sumabase.mdl"
93,953,93,"Stock Car selected"
94,972,94,"Commodore selected"
95,991,95,"4WD Hatchback selected"
96,1014,96,"models/zumacar.mdl"
97,1033,97,"models/zumabase.mdl"
98,1053,98,"models/mycar.mdl"
99,1070,99,"models/mgnabase.mdl"
100,1090,100,"Magna selected"
101,1105,101,"BMW Z3 selected"
102,1121,102,"models/triton.mdl"
103,1139,103,"models/tritbase.mdl"
104,1159,104,"Triton selected"
105,1175,105,"Hilux selected"
106,1190,106,"SetCarDetails"
107,1204,107,"setcam\n"
108,1212,108,"setwheel\n"
109,1222,109,"setcar\n"
110,1230,110,"setzoom\n"
111,1239,111,"settracking\n"
112,1252,112,"CallClientPrefs"
113,1268,113,"rally_marker"
114,1281,114,"FindFirstMarker"
115,1297,115,"+mlook\n"
116,1305,116,"cl_movespeedkey 1\n"
117,1324,117,"cl_anglespeedkey 1.5\n"
118,1346,118,"cl_forwardspeed 2300\n"
119,1368,119,"cl_rollangle 0\n"
120,1384,120,"cl_sidespeed 0\n"
121,1400,121,"cl_backspeed 0\n"
122,1416,122,"cl_bob 0\n"
123,1426,123,"-----------------------------------\n"
124,1463,124," Welcome to QuakeRally!       v1.2 \n"
125,1500,125," Brought to you by the IMPACT TEAM \n"
