row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,39288,0,2,float
2,absmin,39310,1,3,vector
3,absmin_x,39324,1,2,float
4,absmin_y,39342,2,2,float
5,absmin_z,39360,3,2,float
6,absmax,39378,4,3,vector
7,absmax_x,39392,4,2,float
8,absmax_y,39410,5,2,float
9,absmax_z,39428,6,2,float
10,ltime,39446,7,2,float
11,movetype,39458,8,2,float
12,solid,39476,9,2,float
13,origin,39488,10,3,vector
14,origin_x,39502,10,2,float
15,origin_y,39520,11,2,float
16,origin_z,39538,12,2,float
17,oldorigin,39556,13,3,vector
18,oldorigin_x,39576,13,2,float
19,oldorigin_y,39600,14,2,float
20,oldorigin_z,39624,15,2,float
21,velocity,39648,16,3,vector
22,velocity_x,39666,16,2,float
23,velocity_y,39688,17,2,float
24,velocity_z,39710,18,2,float
25,angles,39732,19,3,vector
26,angles_x,39746,19,2,float
27,angles_y,39764,20,2,float
28,angles_z,39782,21,2,float
29,avelocity,39800,22,3,vector
30,avelocity_x,39820,22,2,float
31,avelocity_y,39844,23,2,float
32,avelocity_z,39868,24,2,float
33,punchangle,39892,25,3,vector
34,punchangle_x,39914,25,2,float
35,punchangle_y,39940,26,2,float
36,punchangle_z,39966,27,2,float
37,classname,39992,28,1,string
38,model,40012,29,1,string
39,frame,40024,30,2,float
40,skin,40036,31,2,float
41,effects,40046,32,2,float
42,mins,40062,33,3,vector
43,mins_x,40072,33,2,float
44,mins_y,40086,34,2,float
45,mins_z,40100,35,2,float
46,maxs,40114,36,3,vector
47,maxs_x,40124,36,2,float
48,maxs_y,40138,37,2,float
49,maxs_z,40152,38,2,float
50,size,40166,39,3,vector
51,size_x,40176,39,2,float
52,size_y,40190,40,2,float
53,size_z,40204,41,2,float
54,touch,40218,42,6,void()
55,use,40230,43,6,void()
56,think,40238,44,6,void()
57,blocked,40250,45,6,void()
58,nextthink,40266,46,2,float
59,groundentity,40286,47,4,entity
60,health,40312,48,2,float
61,frags,40326,49,2,float
