row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,qc/defs.qc,1,makevectors,12,0,-1,0,1,448,30000000
2,qc/defs.qc,1,setorigin,24,0,-2,0,2,449,13000000
3,qc/defs.qc,1,setmodel,34,0,-3,0,2,450,11000000
4,qc/defs.qc,1,setsize,43,0,-4,0,3,451,13300000
5,qc/defs.qc,1,break,51,0,-6,0,0,452,00000000
6,qc/defs.qc,1,random,57,0,-7,0,0,453,00000000
7,qc/defs.qc,1,sound,64,0,-8,0,5,454,11111000
8,qc/defs.qc,1,normalize,70,0,-9,0,1,455,30000000
9,qc/defs.qc,1,error,80,0,-10,0,1,456,10000000
10,qc/defs.qc,1,objerror,86,0,-11,0,1,457,10000000
11,qc/defs.qc,1,vlen,95,0,-12,0,1,458,30000000
12,qc/defs.qc,1,vectoyaw,100,0,-13,0,1,459,30000000
13,qc/defs.qc,1,spawn,109,0,-14,0,0,460,00000000
14,qc/defs.qc,1,remove,115,0,-15,0,1,461,10000000
15,qc/defs.qc,1,traceline,122,0,-16,0,4,462,33110000
16,qc/defs.qc,1,checkclient,132,0,-17,0,0,463,00000000
17,qc/defs.qc,1,find,144,0,-18,0,3,464,11100000
18,qc/defs.qc,1,precache_sound,149,0,-19,0,1,465,10000000
19,qc/defs.qc,1,precache_model,164,0,-20,0,1,466,10000000
20,qc/defs.qc,1,stuffcmd,179,0,-21,0,2,467,11000000
21,qc/defs.qc,1,findradius,188,0,-22,0,2,468,31000000
22,qc/defs.qc,1,bprint,199,0,-23,0,1,469,10000000
23,qc/defs.qc,1,sprint,206,0,-24,0,2,470,11000000
24,qc/defs.qc,1,dprint,213,0,-25,0,1,471,10000000
25,qc/defs.qc,1,ftos,220,0,-26,0,1,472,10000000
26,qc/defs.qc,1,vtos,225,0,-27,0,1,473,30000000
27,qc/defs.qc,1,coredump,230,0,-28,0,0,474,00000000
28,qc/defs.qc,1,traceon,239,0,-29,0,0,475,00000000
29,qc/defs.qc,1,traceoff,247,0,-30,0,0,476,00000000
30,qc/defs.qc,1,eprint,256,0,-31,0,1,477,10000000
31,qc/defs.qc,1,walkmove,263,0,-32,0,2,478,11000000
32,qc/defs.qc,1,droptofloor,272,0,-34,0,0,479,00000000
33,qc/defs.qc,1,lightstyle,284,0,-35,0,2,480,11000000
34,qc/defs.qc,1,rint,295,0,-36,0,1,481,10000000
35,qc/defs.qc,1,floor,300,0,-37,0,1,482,10000000
36,qc/defs.qc,1,ceil,306,0,-38,0,1,483,10000000
37,qc/defs.qc,1,checkbottom,311,0,-40,0,1,484,10000000
38,qc/defs.qc,1,pointcontents,323,0,-41,0,1,485,30000000
39,qc/defs.qc,1,fabs,337,0,-43,0,1,486,10000000
40,qc/defs.qc,1,aim,342,0,-44,0,2,487,11000000
41,qc/defs.qc,1,cvar,346,0,-45,0,1,488,10000000
42,qc/defs.qc,1,localcmd,351,0,-46,0,1,489,10000000
43,qc/defs.qc,1,nextent,360,0,-47,0,1,490,10000000
44,qc/defs.qc,1,particle,368,0,-48,0,4,491,33110000
45,qc/defs.qc,1,ChangeYaw,377,0,-49,0,0,492,00000000
46,qc/defs.qc,1,vectoangles,387,0,-51,0,1,493,30000000
47,qc/defs.qc,1,WriteByte,399,0,-52,0,2,494,11000000
48,qc/defs.qc,1,WriteChar,409,0,-53,0,2,495,11000000
49,qc/defs.qc,1,WriteShort,419,0,-54,0,2,496,11000000
50,qc/defs.qc,1,WriteLong,430,0,-55,0,2,497,11000000
51,qc/defs.qc,1,WriteCoord,440,0,-56,0,2,498,11000000
52,qc/defs.qc,1,WriteAngle,451,0,-57,0,2,499,11000000
53,qc/defs.qc,1,WriteString,462,0,-58,0,2,500,11000000
54,qc/defs.qc,1,WriteEntity,474,0,-59,0,2,501,11000000
55,qc/defs.qc,1,movetogoal,486,0,-67,0,1,502,10000000
56,qc/defs.qc,1,precache_file,497,0,-68,0,1,503,10000000
57,qc/defs.qc,1,makestatic,511,0,-69,0,1,504,10000000
58,qc/defs.qc,1,changelevel,522,0,-70,0,1,505,10000000
59,qc/defs.qc,1,cvar_set,534,0,-72,0,2,506,11000000
60,qc/defs.qc,1,centerprint,543,0,-73,0,2,507,11000000
61,qc/defs.qc,1,ambientsound,555,0,-74,0,4,508,31110000
62,qc/defs.qc,1,precache_model2,568,0,-75,0,1,509,10000000
63,qc/defs.qc,1,precache_sound2,584,0,-76,0,1,510,10000000
64,qc/defs.qc,1,precache_file2,600,0,-77,0,1,511,10000000
65,qc/defs.qc,1,setspawnparms,615,0,-78,0,1,512,10000000
66,qc/botit_th.qc,629,CopyrightNotice,887,0,1,0,0,629,00000000
67,qc/botit_th.qc,629,doorweight,903,0,8,2,1,637,10000000
68,qc/botit_th.qc,629,buttonweight,914,0,35,2,1,649,10000000
69,qc/botit_th.qc,629,platweight,927,0,46,2,1,655,10000000
70,qc/botit_th.qc,629,trigpushweight,938,0,58,8,1,660,10000000
71,qc/botit_th.qc,629,triggerweight,953,0,103,3,1,699,10000000
72,qc/botit_th.qc,629,backpackweight,967,0,117,3,1,707,10000000
73,qc/botit_th.qc,629,healthweight,982,0,136,2,1,727,10000000
74,qc/botit_th.qc,629,nailweight,995,0,154,2,1,739,10000000
75,qc/botit_th.qc,629,shellweight,1006,0,168,2,1,750,10000000
76,qc/botit_th.qc,629,cellweight,1018,0,182,2,1,760,10000000
77,qc/botit_th.qc,629,rocketweight,1029,0,189,2,1,765,10000000
78,qc/botit_th.qc,629,rlauncherweight,1042,0,196,2,1,770,10000000
79,qc/botit_th.qc,629,lightningweight,1058,0,205,2,1,777,10000000
80,qc/botit_th.qc,629,glauncherweight,1074,0,214,2,1,784,10000000
81,qc/botit_th.qc,629,nailgunweight,1090,0,224,0,1,792,10000000
82,qc/botit_th.qc,629,supernailweight,1104,0,226,2,1,794,10000000
83,qc/botit_th.qc,629,ssgweight,1120,0,236,0,1,802,10000000
84,qc/botit_th.qc,629,armorweight,1130,0,238,2,1,804,10000000
85,qc/botit_th.qc,629,artifactweight,1167,0,244,2,1,810,10000000
86,qc/botit_th.qc,629,cacherocket,1182,0,252,0,3,817,11100000
87,qc/botit_th.qc,629,cachelightning,1194,0,265,0,3,827,11100000
88,qc/botit_th.qc,629,cachearmor,1209,0,278,0,3,837,11100000
89,qc/botit_th.qc,629,cachenail,1220,0,291,0,3,847,11100000
90,qc/botit_th.qc,629,cachegrenade,1230,0,304,0,3,857,11100000
91,qc/botit_th.qc,629,cachepowerup,1243,0,317,0,3,867,11100000
92,qc/botit_th.qc,629,cacheenemy,1256,0,330,0,3,877,11100000
93,qc/botit_th.qc,629,updaterocket,1267,0,343,0,0,887,00000000
94,qc/botit_th.qc,629,updatelightning,1280,0,350,0,0,892,00000000
95,qc/botit_th.qc,629,updatearmor,1296,0,357,0,0,897,00000000
96,qc/botit_th.qc,629,updatepowerup,1308,0,364,0,0,902,00000000
97,qc/botit_th.qc,629,updatenail,1322,0,371,0,0,907,00000000
98,qc/botit_th.qc,629,updategrenade,1333,0,378,0,0,912,00000000
99,qc/subs.qc,1347,SUB_Null,1358,0,385,0,0,916,00000000
100,qc/subs.qc,1347,SUB_Remove,1367,0,386,0,0,916,00000000
