row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,39172,0,2,float
2,absmin,39194,1,3,vector
3,absmin_x,39208,1,2,float
4,absmin_y,39226,2,2,float
5,absmin_z,39244,3,2,float
6,absmax,39262,4,3,vector
7,absmax_x,39276,4,2,float
8,absmax_y,39294,5,2,float
9,absmax_z,39312,6,2,float
10,ltime,39330,7,2,float
11,movetype,39342,8,2,float
12,solid,39360,9,2,float
13,origin,39372,10,3,vector
14,origin_x,39386,10,2,float
15,origin_y,39404,11,2,float
16,origin_z,39422,12,2,float
17,oldorigin,39440,13,3,vector
18,oldorigin_x,39460,13,2,float
19,oldorigin_y,39484,14,2,float
20,oldorigin_z,39508,15,2,float
21,velocity,39532,16,3,vector
22,velocity_x,39550,16,2,float
23,velocity_y,39572,17,2,float
24,velocity_z,39594,18,2,float
25,angles,39616,19,3,vector
26,angles_x,39630,19,2,float
27,angles_y,39648,20,2,float
28,angles_z,39666,21,2,float
29,avelocity,39684,22,3,vector
30,avelocity_x,39704,22,2,float
31,avelocity_y,39728,23,2,float
32,avelocity_z,39752,24,2,float
33,punchangle,39776,25,3,vector
34,punchangle_x,39798,25,2,float
35,punchangle_y,39824,26,2,float
36,punchangle_z,39850,27,2,float
37,classname,39876,28,1,string
38,model,39896,29,1,string
39,frame,39908,30,2,float
40,skin,39920,31,2,float
41,effects,39930,32,2,float
42,mins,39946,33,3,vector
43,mins_x,39956,33,2,float
44,mins_y,39970,34,2,float
45,mins_z,39984,35,2,float
46,maxs,39998,36,3,vector
47,maxs_x,40008,36,2,float
48,maxs_y,40022,37,2,float
49,maxs_z,40036,38,2,float
50,size,40050,39,3,vector
51,size_x,40060,39,2,float
52,size_y,40074,40,2,float
53,size_z,40088,41,2,float
54,touch,40102,42,6,void()
55,use,40114,43,6,void()
56,think,40122,44,6,void()
57,blocked,40134,45,6,void()
58,nextthink,40150,46,2,float
59,groundentity,40170,47,4,entity
60,health,40196,48,2,float
61,frags,40210,49,2,float
62,weapon,40222,50,2,float
63,weaponmodel,40236,51,1,string
64,weaponframe,40260,52,2,float
65,currentammo,40284,53,2,float
66,ammo_shells,40308,54,2,float
67,ammo_nails,40332,55,2,float
68,ammo_rockets,40354,56,2,float
69,ammo_cells,40380,57,2,float
70,items,40402,58,2,float
71,takedamage,40414,59,2,float
