row,name,s_name,ofs,type,typename
0,field000000,0,0,0,void
1,modelindex,41654,0,2,float
2,absmin,41676,1,3,vector
3,absmin_x,41690,1,2,float
4,absmin_y,41708,2,2,float
5,absmin_z,41726,3,2,float
6,absmax,41744,4,3,vector
7,absmax_x,41758,4,2,float
8,absmax_y,41776,5,2,float
9,absmax_z,41794,6,2,float
10,ltime,41812,7,2,float
11,movetype,41824,8,2,float
12,solid,41842,9,2,float
13,origin,41854,10,3,vector
14,origin_x,41868,10,2,float
15,origin_y,41886,11,2,float
16,origin_z,41904,12,2,float
17,oldorigin,41922,13,3,vector
18,oldorigin_x,41942,13,2,float
19,oldorigin_y,41966,14,2,float
20,oldorigin_z,41990,15,2,float
21,velocity,42014,16,3,vector
22,velocity_x,42032,16,2,float
23,velocity_y,42054,17,2,float
24,velocity_z,42076,18,2,float
25,angles,42098,19,3,vector
26,angles_x,42112,19,2,float
27,angles_y,42130,20,2,float
28,angles_z,42148,21,2,float
29,avelocity,42166,22,3,vector
30,avelocity_x,42186,22,2,float
31,avelocity_y,42210,23,2,float
32,avelocity_z,42234,24,2,float
33,punchangle,42258,25,3,vector
34,punchangle_x,42280,25,2,float
35,punchangle_y,42306,26,2,float
36,punchangle_z,42332,27,2,float
37,classname,42358,28,1,string
38,model,42378,29,1,string
39,frame,42390,30,2,float
40,skin,42402,31,2,float
41,effects,42412,32,2,float
42,mins,42428,33,3,vector
43,mins_x,42438,33,2,float
44,mins_y,42452,34,2,float
45,mins_z,42466,35,2,float
46,maxs,42480,36,3,vector
47,maxs_x,42490,36,2,float
48,maxs_y,42504,37,2,float
49,maxs_z,42518,38,2,float
50,size,42532,39,3,vector
51,size_x,42542,39,2,float
52,size_y,42556,40,2,float
53,size_z,42570,41,2,float
54,touch,42584,42,6,void()
55,use,42596,43,6,void()
56,think,42604,44,6,void()
57,blocked,42616,45,6,void()
58,nextthink,42632,46,2,float
59,groundentity,42652,47,4,entity
60,health,42678,48,2,float
61,frags,42692,49,2,float
62,weapon,42704,50,2,float
63,weaponmodel,42718,51,1,string
64,weaponframe,42742,52,2,float
65,currentammo,42766,53,2,float
66,ammo_shells,42790,54,2,float
67,ammo_nails,42814,55,2,float
68,ammo_rockets,42836,56,2,float
69,ammo_cells,42862,57,2,float
70,items,42884,58,2,float
71,takedamage,42896,59,2,float
72,chain,42918,60,4,entity
73,deadflag,42930,61,2,float
74,view_ofs,42948,62,3,vector
75,view_ofs_x,42966,62,2,float
76,view_ofs_y,42988,63,2,float
77,view_ofs_z,43010,64,2,float
78,button0,43032,65,2,float
79,button1,43048,66,2,float
80,button2,43064,67,2,float
81,impulse,43080,68,2,float
82,fixangle,43096,69,2,float
83,v_angle,43114,70,3,vector
84,v_angle_x,43130,70,2,float
85,v_angle_y,43150,71,2,float
86,v_angle_z,43170,72,2,float
87,idealpitch,43190,73,2,float
88,netname,43212,74,1,string
89,enemy,43228,75,4,entity
90,flags,43240,76,2,float
91,colormap,43252,77,2,float
92,team,43270,78,2,float
93,max_health,43280,79,2,float
94,teleport_time,43302,80,2,float
95,armortype,43330,81,2,float
96,armorvalue,43350,82,2,float
97,waterlevel,43372,83,2,float
98,watertype,43394,84,2,float
99,ideal_yaw,43414,85,2,float
100,yaw_speed,43434,86,2,float
101,aiment,43454,87,4,entity
102,goalentity,43468,88,4,entity
103,spawnflags,43490,89,2,float
104,target,43512,90,1,string
105,targetname,43526,91,1,string
106,dmg_take,43548,92,2,float
107,dmg_save,43566,93,2,float
108,dmg_inflictor,43584,94,4,entity
109,owner,43612,95,4,entity
110,movedir,43624,96,3,vector
