row,offset,id,string
0,0,0,""
1,1,1,"defs.qc"
2,9,2,"makevectors"
3,21,3,"setorigin"
4,31,4,"setmodel"
5,40,5,"setsize"
6,48,6,"break"
7,54,7,"random"
8,61,8,"sound"
9,67,9,"normalize"
10,77,10,"error"
11,83,11,"objerror"
12,92,12,"vlen"
13,97,13,"vectoyaw"
14,106,14,"spawn"
15,112,15,"remove"
16,119,16,"traceline"
17,129,17,"checkclient"
18,141,18,"find"
19,146,19,"precache_sound"
20,161,20,"precache_model"
21,176,21,"stuffcmd"
22,185,22,"findradius"
23,196,23,"bprint"
24,203,24,"sprint"
25,210,25,"dprint"
26,217,26,"ftos"
27,222,27,"vtos"
28,227,28,"coredump"
29,236,29,"traceon"
30,244,30,"traceoff"
31,253,31,"eprint"
32,260,32,"walkmove"
33,269,33,"droptofloor"
34,281,34,"lightstyle"
35,292,35,"rint"
36,297,36,"floor"
37,303,37,"ceil"
38,308,38,"checkbottom"
39,320,39,"pointcontents"
40,334,40,"fabs"
41,339,41,"aim"
42,343,42,"cvar"
43,348,43,"localcmd"
44,357,44,"nextent"
45,365,45,"particle"
46,374,46,"ChangeYaw"
47,384,47,"vectoangles"
48,396,48,"WriteByte"
49,406,49,"WriteChar"
50,416,50,"WriteShort"
51,427,51,"WriteLong"
52,437,52,"WriteCoord"
53,448,53,"WriteAngle"
54,459,54,"WriteString"
55,471,55,"WriteEntity"
56,483,56,"movetogoal"
57,494,57,"precache_file"
58,508,58,"makestatic"
59,519,59,"changelevel"
60,531,60,"cvar_set"
61,540,61,"centerprint"
62,552,62,"ambientsound"
63,565,63,"precache_model2"
64,581,64,"precache_sound2"
65,597,65,"precache_file2"
66,612,66,"setspawnparms"
67,626,67,"subs.qc"
68,634,68,"SUB_Null"
69,643,69,"SUB_Remove"
70,654,70,"SetMovedir"
71,665,71,""
72,666,72,"InitTrigger"
73,678,73,"SUB_CalcMoveEnt"
74,694,74,"No speed is defined!"
75,715,75,"SUB_CalcMove"
76,728,76,"SUB_CalcMoveDone"
77,745,77,"SUB_CalcAngleMoveEnt"
78,766,78,"SUB_CalcAngleMove"
79,784,79,"SUB_CalcAngleMoveDone"
80,806,80,"DelayThink"
81,817,81,"DelayedUse"
82,828,82,"player"
83,835,83,"misc/talk.wav"
84,849,84,"SUB_UseTargets"
85,864,85,"SUB_AttackFinished"
86,883,86,"SUB_CheckRefire"
87,899,87,"fight.qc"
88,908,88,"knight_attack"
89,922,89,"monster_knight"
90,937,90,"CheckAttack"
91,949,91,"ai_face"
92,957,92,"ai_charge"
93,967,93,"ai_charge_side"
94,982,94,"ai_melee"
95,991,95,"ai_melee_side"
96,1005,96,"SoldierCheckAttack"
97,1024,97,"ShamCheckAttack"
98,1040,98,"OgreCheckAttack"
99,1056,99,"ai.qc"
100,1062,100,"anglemod"
101,1071,101,"monster_movetarget: no targetname"
102,1105,102,"movetarget_f"
103,1118,103,"path_corner"
104,1130,104,"monster_ogre"
105,1143,105,"ogre/ogdrag.wav"
106,1159,106,"t_movetarget"
107,1172,107,"range"
108,1178,108,"visible"
109,1186,109,"infront"
110,1194,110,"HuntTarget"
111,1205,111,"ogre/ogwake.wav"
112,1221,112,"knight/ksight.wav"
113,1239,113,"monster_shambler"
114,1256,114,"shambler/ssight.wav"
115,1276,115,"monster_demon1"
116,1291,116,"demon/sight2.wav"
117,1308,117,"monster_wizard"
118,1323,118,"wizard/wsight.wav"
119,1341,119,"monster_zombie"
120,1356,120,"zombie/z_idle.wav"
121,1374,121,"monster_dog"
122,1386,122,"dog/dsight.wav"
123,1401,123,"monster_hell_knight"
124,1421,124,"hknight/sight1.wav"
125,1440,125,"monster_tarbaby"
126,1456,126,"blob/sight1.wav"
127,1472,127,"monster_vomit"
128,1486,128,"vomitus/v_sight1.wav"
129,1507,129,"monster_enforcer"
130,1524,130,"enforcer/sight1.wav"
131,1544,131,"enforcer/sight2.wav"
132,1564,132,"enforcer/sight3.wav"
133,1584,133,"enforcer/sight4.wav"
134,1604,134,"monster_army"
135,1617,135,"soldier/sight1.wav"
136,1636,136,"monster_shalrath"
137,1653,137,"shalrath/sight.wav"
138,1672,138,"SightSound"
139,1683,139,"FoundTarget"
140,1695,140,"FindTarget"
141,1706,141,"ai_forward"
142,1717,142,"ai_back"
143,1725,143,"ai_pain"
144,1733,144,"ai_painforward"
145,1748,145,"monster_dragon"
146,1763,146,"ai_walk"
147,1771,147,"ai_stand"
148,1780,148,"ai_turn"
149,1788,149,"ChooseTurn"
150,1799,150,"FacingIdeal"
151,1811,151,"CheckAnyAttack"
152,1826,152,"ai_run_melee"
153,1839,153,"ai_run_missile"
154,1854,154,"ai_run_slide"
155,1867,155,"ai_run"
156,1874,156,"combat.qc"
157,1884,157,"CanDamage"
158,1894,158,"Killed"
159,1901,159,"items/protect3.wav"
160,1920,160,"door"
161,1925,161,"T_Damage"
162,1934,162,"T_RadiusDamage"
163,1949,163,"T_BeamDamage"
164,1962,164,"items.qc"
165,1971,165,"items/itembk2.wav"
166,1989,166,"SUB_regen"
167,1999,167,"noclass spawned at"
168,2018,168,"\n"
169,2020,169,"noclass"
170,2028,170,"Bonus item fell out of level at "
171,2061,171,"PlaceItem"
172,2071,172,"StartItem"
173,2081,173,"T_Heal"
174,2088,174,"maps/b_bh10.bsp"
175,2104,175,"items/r_item1.wav"
176,2122,176,"maps/b_bh100.bsp"
177,2139,177,"items/r_item2.wav"
178,2157,178,"maps/b_bh25.bsp"
179,2173,179,"items/health1.wav"
180,2191,180,"item_health"
181,2203,181,"You receive "
182,2216,182," health\n"
183,2225,183,"bf\n"
184,2229,184,"health_touch"
185,2242,185,"item_megahealth_rot"
186,2262,186,"item_armor1"
187,2274,187,"item_armor2"
188,2286,188,"item_armorInv"
189,2300,189,"You got armor\n"
190,2315,190,"items/armor1.wav"
191,2332,191,"armor_touch"
192,2344,192,"progs/armor.mdl"
193,2360,193,"item_armor1"
194,2372,194,"item_armor2"
195,2384,195,"item_armorInv"
196,2398,196,"bound_other_ammo"
197,2415,197,"RankForWeapon"
198,2429,198,"Deathmatch_Weapon"
199,2447,199,"weapon_nailgun"
200,2462,200,"weapon_supernailgun"
201,2482,201,"weapon_supershotgun"
202,2502,202,"weapon_rocketlauncher"
203,2524,203,"weapon_grenadelauncher"
204,2547,204,"weapon_lightning"
205,2564,205,"weapon_touch: unknown classname"
206,2596,206,"You got the "
207,2609,207,"weapons/pkup.wav"
208,2626,208,"weapon_touch"
209,2639,209,"progs/g_shot.mdl"
210,2656,210,"Double-barrelled Shotgun"
211,2681,211,"weapon_supershotgun"
212,2701,212,"progs/g_nail.mdl"
213,2718,213,"nailgun"
214,2726,214,"weapon_nailgun"
215,2741,215,"progs/g_nail2.mdl"
216,2759,216,"Super Nailgun"
217,2773,217,"weapon_supernailgun"
218,2793,218,"progs/g_rock.mdl"
219,2810,219,"Grenade Launcher"
220,2827,220,"weapon_grenadelauncher"
221,2850,221,"progs/g_rock2.mdl"
222,2868,222,"Rocket Launcher"
223,2884,223,"weapon_rocketlauncher"
224,2906,224,"progs/g_light.mdl"
225,2924,225,"Thunderbolt"
226,2936,226,"weapon_lightning"
227,2953,227,"weapons/lock4.wav"
228,2971,228,"ammo_touch"
229,2982,229,"maps/b_shell1.bsp"
230,3000,230,"maps/b_shell0.bsp"
231,3018,231,"shells"
232,3025,232,"item_shells"
233,3037,233,"maps/b_nail1.bsp"
234,3054,234,"maps/b_nail0.bsp"
235,3071,235,"nails"
236,3077,236,"item_spikes"
237,3089,237,"maps/b_rock1.bsp"
238,3106,238,"maps/b_rock0.bsp"
239,3123,239,"rockets"
240,3131,240,"item_rockets"
241,3144,241,"maps/b_batt1.bsp"
242,3161,242,"maps/b_batt0.bsp"
243,3178,243,"cells"
244,3184,244,"item_cells"
245,3195,245,"spikes"
246,3202,246,"item_weapon"
247,3214,247,"key_touch"
248,3224,248,"misc/medkey.wav"
249,3240,249,"misc/runekey.wav"
250,3257,250,"misc/basekey.wav"
251,3274,251,"key_setsounds"
252,3288,252,"progs/w_s_key.mdl"
253,3306,253,"silver key"
254,3317,254,"progs/m_s_key.mdl"
255,3335,255,"silver runekey"
256,3350,256,"progs/b_s_key.mdl"
257,3368,257,"silver keycard"
258,3383,258,"item_key1"
259,3393,259,"progs/w_g_key.mdl"
260,3411,260,"gold key"
261,3420,261,"progs/m_g_key.mdl"
262,3438,262,"gold runekey"
263,3451,263,"progs/b_g_key.mdl"
264,3469,264,"gold keycard"
265,3482,265,"item_key2"
266,3492,266,"You got the rune!"
267,3510,267,"sigil_touch"
268,3522,268,"no spawnflags"
269,3536,269,"progs/end1.mdl"
270,3551,270,"progs/end2.mdl"
271,3566,271,"progs/end3.mdl"
272,3581,272,"progs/end4.mdl"
273,3596,273,"item_sigil"
274,3607,274,"item_artifact_invulnerability"
275,3637,275,"item_artifact_invisibility"
276,3664,276,"item_artifact_envirosuit"
277,3689,277,"item_artifact_super_damage"
278,3716,278,"powerup_touch"
279,3730,279,"progs/invulner.mdl"
280,3749,280,"items/protect.wav"
281,3767,281,"items/protect2.wav"
282,3786,282,"Pentagram of Protection"
283,3810,283,"item_artifact_invulnerability"
284,3840,284,"progs/suit.mdl"
285,3855,285,"items/suit.wav"
286,3870,286,"items/suit2.wav"
287,3886,287,"Biosuit"
288,3894,288,"item_artifact_envirosuit"
289,3919,289,"progs/invisibl.mdl"
290,3938,290,"items/inv1.wav"
291,3953,291,"items/inv2.wav"
292,3968,292,"items/inv3.wav"
293,3983,293,"Ring of Shadows"
294,3999,294,"item_artifact_invisibility"
295,4026,295,"progs/quaddama.mdl"
296,4045,296,"items/damage.wav"
297,4062,297,"items/damage2.wav"
298,4080,298,"items/damage3.wav"
299,4098,299,"Quad Damage"
300,4110,300,"item_artifact_super_damage"
301,4137,301,"You get "
302,4146,302,"the "
303,4151,303,", "
304,4154,304," shells"
305,4162,305," nails"
306,4169,306," rockets"
307,4178,307," cells"
308,4185,308,"BackpackTouch"
309,4199,309,"Axe"
310,4203,310,"Shotgun"
311,4211,311,"Nailgun"
312,4219,312,"progs/backpack.mdl"
313,4238,313,"DropBackpack"
314,4251,314,"weapons.qc"
315,4262,315,"weapons/r_exp3.wav"
316,4281,316,"weapons/rocket1i.wav"
317,4302,317,"weapons/sgun1.wav"
318,4320,318,"weapons/guncock.wav"
319,4340,319,"weapons/ric1.wav"
320,4357,320,"weapons/ric2.wav"
321,4374,321,"weapons/ric3.wav"
322,4391,322,"weapons/spike2.wav"
323,4410,323,"weapons/tink1.wav"
324,4428,324,"weapons/grenade.wav"
325,4448,325,"weapons/bounce.wav"
326,4467,326,"weapons/shotgn2.wav"
327,4487,327,"W_Precache"
328,4498,328,"crandom"
329,4506,329,"player/axhit2.wav"
330,4524,330,"W_FireAxe"
331,4534,331,"wall_velocity"
332,4548,332,"progs/zom_gib.mdl"
333,4566,333,"SpawnMeatSpray"
334,4581,334,"SpawnBlood"
335,4592,335,"spawn_touchblood"
336,4609,336,"SpawnChunk"
337,4620,337,"ClearMultiDamage"
338,4637,338,"ApplyMultiDamage"
339,4654,339,"AddMultiDamage"
340,4669,340,"TraceAttack"
341,4681,341,"FireBullets"
342,4693,342,"W_FireShotgun"
343,4707,343,"W_FireSuperShotgun"
344,4726,344,"s_explode1"
345,4737,345,"s_explode2"
346,4748,346,"s_explode3"
347,4759,347,"s_explode4"
348,4770,348,"s_explode5"
349,4781,349,"s_explode6"
350,4792,350,"progs/s_explod.spr"
351,4811,351,"BecomeExplosion"
352,4827,352,"T_MissileTouch"
353,4842,353,"missile"
354,4850,354,"progs/missile.mdl"
355,4868,355,"W_FireRocket"
356,4881,356,"LightningDamage"
357,4897,357,"weapons/lhit.wav"
358,4914,358,"W_FireLightning"
359,4930,359,"GrenadeExplode"
360,4945,360,"GrenadeTouch"
361,4958,361,"grenade"
362,4966,362,"progs/grenade.mdl"
363,4984,363,"W_FireGrenade"
364,4998,364,"spike"
365,5004,365,"progs/spike.mdl"
366,5020,366,"launch_spike"
367,5033,367,"progs/s_spike.mdl"
368,5051,368,"W_FireSuperSpikes"
369,5069,369,"W_FireSpikes"
370,5082,370,"wizspike"
371,5091,371,"knightspike"
372,5103,372,"spike_touch"
373,5115,373,"superspike_touch"
374,5132,374,"progs/v_axe.mdl"
375,5148,375,"progs/v_shot.mdl"
376,5165,376,"progs/v_shot2.mdl"
377,5183,377,"progs/v_nail.mdl"
378,5200,378,"progs/v_nail2.mdl"
379,5218,379,"progs/v_rock.mdl"
380,5235,380,"progs/v_rock2.mdl"
381,5253,381,"progs/v_light.mdl"
382,5271,382,"W_SetCurrentAmmo"
383,5288,383,"W_BestWeapon"
384,5301,384,"W_CheckNoAmmo"
385,5315,385,"weapons/ax1.wav"
386,5331,386,"weapons/lstart.wav"
387,5350,387,"W_Attack"
388,5359,388,"no weapon.\n"
389,5371,389,"not enough ammo.\n"
390,5389,390,"W_ChangeWeapon"
391,5404,391,"CheatCommand"
392,5417,392,"CycleWeaponCommand"
393,5436,393,"CycleWeaponReverseCommand"
394,5462,394,"ServerflagsCommand"
395,5481,395,"quad cheat\n"
396,5493,396,"QuadCheat"
397,5503,397,"ImpulseCommands"
398,5519,398,"W_WeaponFrame"
399,5533,399,"SuperDamageSound"
400,5550,400,"world.qc"
401,5559,401,"main function\n"
402,5574,402,"progs.dat"
403,5584,403,"gfx.wad"
404,5592,404,"quake.rc"
405,5601,405,"default.cfg"
406,5613,406,"end1.bin"
407,5622,407,"end2.bin"
408,5631,408,"demo1.dem"
409,5641,409,"demo2.dem"
410,5651,410,"demo3.dem"
411,5661,411,"gfx/palette.lmp"
412,5677,412,"gfx/colormap.lmp"
